Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Illinois St	Missouri Val	22-13	0.62857	+13	50	1.95026	49	35.9348	83	86.4876	52	22.1545	4.36879	82	30.7854	
Vanderbilt	Southeastern	21-14	0.6	+8	51	1.94599	35	37.5795	34	91.0986	101	19.1813	3.41167	67	32.0648	
Valparaiso	Horizon	28-6	0.82353	-5	52	1.9448	62	33.9503	181	82.6814	25	23.9734	3.27916	197	24.4044	
Florida	Southeastern	16-17	0.48485	-7	53	1.94307	43	36.608	177	82.753	11	26.5589	3.08861	14	35.7111	
Rhode Island	Atlantic 10	23-10	0.69697	-6	54	1.92227	54	35.1433	117	84.997	41	22.8511	4.3874	94	29.2241	
Indiana	Big 10	20-14	0.58824	+2	55	1.92151	48	36.1751	11	95.2254	225	13.6548	3.83807	46	33.4019	
Boise St	Mountain West	25-9	0.73529		56	1.90525	52	35.6636	78	86.9377	64	21.427	4.84797	106	28.1748	
Buffalo	Mid-American	23-10	0.69697	-7	57	1.90306	61	34.4849	30	91.2958	169	15.8908	3.32184	96	29.0035	
Georgia St	Sun Belt	25-10	0.71429	+18	58	1.89293	70	33.2788	107	85.2393	76	20.7409	4.01854	138	26.3764	
Harvard	Ivy League	22-8	0.73333	+9	59	1.87967	67	33.5947	220	80.8877	17	25.4121	1.98078	124	26.9319	
Michigan	Big 10	16-16	0.5	+13	60	1.87237	59	34.6279	131	84.4717	40	22.8618	3.48438	28	34.4092	
Louisiana Tech	Conference USA	27-9	0.75	+17	61	1.86996	76	32.7602	50	89.0558	156	16.4085	5.01383	135	26.478	
Oklahoma St	Big 12	18-14	0.5625	-17	62	1.8687	57	34.8482	89	86.1801	67	21.3705	5.69075	38	33.7193	
Minnesota	Big 10	18-15	0.54545	+9	63	1.86841	51	35.6664	21	92.4886	170	15.884	3.57668	53	32.8993	
Alabama	Southeastern	19-15	0.55882	-10	64	1.86687	56	34.9486	88	86.2016	63	21.4488	3.37079	47	33.2826	
Tennessee	Southeastern	16-16	0.5	-4	65	1.86261	69	33.3657	166	83.1588	39	22.908	1.77256	35	34.0088	
South Carolina	Southeastern	17-16	0.51515	-8	66	1.86113	64	33.8731	167	83.1199	32	23.4538	3.24698	49	32.9986	
Wofford	Southern	28-7	0.8		67	1.85141	86	31.5964	252	79.3846	20	24.9158	2.52194	195	24.4594	
Wyoming	Mountain West	25-10	0.71429	-4	68	1.84635	98	30.4528	253	79.3824	27	23.7725	4.82945	145	26.0151	
Evansville	Missouri Val	24-12	0.66667	+63	69	1.84539	77	32.7091	47	89.3929	167	16.023	3.05472	110	27.6974	
Texas A&M	Southeastern	21-12	0.63636	-21	70	1.84415	63	33.9191	99	85.571	72	21.0501	3.16785	69	31.7455	
Florida St	Atlantic Coast	17-16	0.51515	+4	71	1.84344	78	32.6209	82	86.635	106	18.6875	2.79745	57	32.7839	
Richmond	Atlantic 10	21-14	0.6	-1	72	1.83784	60	34.5659	110	85.0977	51	22.1717	3.83099	81	30.8424	
Colorado St	Mountain West	27-7	0.79412	-20	73	1.82911	85	31.6277	59	88.2525	166	16.0777	4.81436	122	27.0921	
G Washington	Atlantic 10	22-13	0.62857	-9	74	1.82268	79	32.5507	151	83.5561	60	21.7007	4.78548	91	29.7804	
Illinois	Big 10	19-14	0.57576	+6	75	1.82081	74	32.7716	97	85.6338	90	19.8429	4.74772	56	32.8223	
Penn St	Big 10	18-16	0.52941	+6	76	1.81371	75	32.7625	100	85.5554	87	19.9119	3.87295	64	32.2636	
Arizona St	Pac 12	18-16	0.52941	+18	77	1.81084	65	33.7874	56	88.4652	118	18.0275	5.1329	51	32.9451	
Clemson	Atlantic Coast	16-15	0.51613	+5	78	1.80538	68	33.5223	200	81.7666	22	24.4583	2.88608	44	33.5846	
Old Dominion	Conference USA	27-8	0.77143	+6	79	1.80176	90	31.3067	275	78.4103	16	25.6018	5.94622	131	26.5996	
