Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Connecticut	Big East	33-6	0.84615	+8	1	2.49845	2	48.514	6	97.4227	18	23.8644	3.45836	7	34.8945	
Oklahoma St	Big 12	31-4	0.88571	+5	2	2.44514	3	47.4756	16	93.814	7	26.4371	5.11239	17	33.673	
Duke	Atlantic Coast	31-6	0.83784	-2	3	2.44506	1	49.6004	4	99.3848	22	22.9887	4.29221	3	37.165	
St Joseph's PA	Atlantic 10	30-2	0.9375	-2	4	2.39727	4	45.8057	12	94.5159	16	24.0645	4.39119	30	32.2131	
Georgia Tech	Atlantic Coast	28-10	0.73684	+5	5	2.3233	6	44.4829	15	94.0273	21	23.2284	3.82336	1	37.5459	
Pittsburgh	Big East	31-5	0.86111		6	2.30819	5	44.9775	83	86.3943	2	31.3615	3.25509	23	33.1806	
Stanford	Pac 10	30-2	0.9375	-3	7	2.18436	12	42.1231	71	87.6205	4	27.2794	4.60813	65	30.0984	
Gonzaga	West Coast	28-3	0.90323	-5	8	2.17565	9	42.8226	7	96.154	59	19.4469	4.95878	66	30.025	
Illinois	Big 10	26-7	0.78788	+8	9	2.15259	13	42.0131	31	91.2995	19	23.4893	4.88583	25	32.9939	
Wisconsin	Big 10	25-7	0.78125	+4	10	2.14417	7	43.3538	66	87.9428	3	28.1863	5.08191	14	33.8053	
Texas	Big 12	25-8	0.75758	+7	11	2.1269	17	41.0572	26	91.9802	32	21.8519	5.90303	9	34.5199	
Kentucky	Southeastern	27-5	0.84375	-7	12	2.11796	14	41.855	25	92.1941	27	22.4356	5.24992	26	32.9118	
Mississippi St	Southeastern	26-4	0.86667	-5	13	2.09209	19	40.668	8	95.4037	80	18.0408	5.82201	40	31.4599	
Kansas	Big 12	24-9	0.72727	+9	14	2.08735	11	42.2451	10	95.0003	53	20.0193	5.31478	8	34.572	
Wake Forest	Atlantic Coast	21-10	0.67742	-3	15	2.08364	18	41.007	1	101.925	193	11.8571	4.33839	5	36.6376	
NC State	Atlantic Coast	21-10	0.67742	-5	16	2.07623	8	43.0189	40	90.5317	9	25.2616	4.6607	6	36.4269	
Xavier	Atlantic 10	26-11	0.7027	+10	17	2.05741	15	41.7758	44	90.3113	13	24.2373	3.34092	28	32.5569	
Syracuse	Big East	23-8	0.74194	+1	18	2.04545	22	38.5875	33	91.2517	52	20.1099	3.40832	18	33.5584	
Maryland	Atlantic Coast	20-12	0.625	-6	19	2.03586	20	39.768	11	94.918	85	17.6247	4.29942	4	37.0013	
North Carolina	Atlantic Coast	19-11	0.63333	-4	20	2.02724	10	42.3176	3	99.9437	128	15.1495	5.48008	2	37.2084	
Nevada	Western Athletic	25-9	0.73529	+3	21	2.02621	16	41.1334	18	93.1384	43	20.7714	4.06243	37	31.6465	
Cincinnati	Conference USA	25-7	0.78125	-7	22	1.97958	21	39.0518	20	92.7028	64	19.1249	5.30828	42	31.3728	
