Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Ohio St	NCAA	34-3	0.91892		1	2.90596	1	52.7955	9	97.5208	5	27.7028	4.19337	7	38.2132	
Connecticut	NCAA	32-9	0.78049	+3	2	2.80214	5	48.6051	20	94.2257	12	26.8121	1.75729	1	39.6603	
Kansas	NCAA	35-3	0.92105	-1	3	2.75343	3	48.8634	8	97.9065	34	23.3849	4.88265	27	35.7919	
San Diego St	NCAA	34-3	0.91892		4	2.68847	7	46.8029	51	90.5581	2	28.6767	3.00123	49	33.8004	
Duke	NCAA	32-5	0.86486	-2	5	2.66919	2	49.2101	5	98.9033	39	22.7368	4.14453	21	36.5406	
Kentucky	NCAA	29-9	0.76316	+3	6	2.65363	4	48.6099	23	93.8979	7	27.1434	3.47707	11	37.871	
North Carolina	NCAA	29-8	0.78378	+1	7	2.58304	9	45.104	11	97.1012	72	20.434	4.23174	6	38.2144	
Pittsburgh	NCAA	28-6	0.82353	-1	8	2.49855	6	47.9805	29	93.1305	6	27.2832	3.36558	20	36.7758	
Notre Dame	NCAA	27-7	0.79412	-3	9	2.46913	15	44.313	17	94.725	46	22.0207	4.80764	14	37.1288	
BYU	NCAA	32-5	0.86486	+2	10	2.46859	16	44.282	7	98.6017	113	18.1126	3.54759	46	33.8433	
Arizona	NCAA	30-8	0.78947	+10	11	2.45693	17	43.1065	16	95.304	74	20.231	4.52136	29	35.3082	
Florida	NCAA	29-8	0.78378	+4	12	2.45582	11	44.7981	27	93.4179	30	23.8105	2.4059	24	36.1381	
Texas	NCAA	28-8	0.77778	-3	13	2.42776	8	46.3844	30	93.0242	16	25.7908	4.9198	23	36.1741	
Wisconsin	NCAA	25-9	0.73529	+1	14	2.42467	10	44.8777	130	87.3761	1	29.9301	5.30175	10	37.8929	
Butler	NCAA	28-10	0.73684	+27	15	2.41484	21	42.1146	74	89.3859	24	25.1622	2.20875	47	33.8433	
Syracuse	NCAA	27-8	0.77143	-5	16	2.41342	12	44.5819	28	93.3589	32	23.657	2.74674	13	37.1294	
Purdue	NCAA	26-8	0.76471	-3	17	2.37831	14	44.4764	32	92.9303	27	23.9754	5.19193	12	37.4759	
Louisville	NCAA	25-10	0.71429	-5	18	2.34934	13	44.5544	25	93.5294	33	23.46	3.82983	16	37.0337	
Richmond	NCAA	29-8	0.78378	+1	19	2.31723	26	41.4443	139	86.9081	11	26.9695	2.26605	70	31.923	
VA Commonwealth	NCAA	28-12	0.7	+44	20	2.29422	28	41.3531	33	92.898	64	20.8889	1.43921	52	33.4934	
Cincinnati	NCAA	26-9	0.74286	-3	21	2.29002	23	42.0207	114	87.833	13	26.6226	4.15405	40	34.6823	
Michigan	NCAA	21-14	0.6	+10	22	2.27656	19	42.5479	112	87.8463	8	27.1298	3.5565	9	37.9893	
West Virginia	NCAA	21-12	0.63636	-1	23	2.27213	20	42.318	72	89.4213	20	25.3306	4.52394	3	38.6601	
Old Dominion	NCAA	27-7	0.79412	+1	24	2.26405	32	40.1868	211	84.6271	4	27.9934	2.58733	67	32.0933	
Marquette	NCAA	22-15	0.59459	+8	25	2.25256	29	41.3201	35	92.4196	57	21.3328	3.96652	17	36.9767	
Wichita St	NCAA	29-8	0.78378	+39	26	2.24522	24	41.9571	43	91.5211	37	22.8672	3.66279	83	30.9966	
Washington	NCAA	24-11	0.68571		27	2.24491	18	42.613	4	99.025	171	16.02	4.99461	35	35.0169	
