Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Ohio St	Big 10	35-4	0.89744		1	2.81758	3	51.8965	7	97.5624	13	27.343	4.62829	2	39.4235	
Florida	Southeastern	35-5	0.875	+2	2	2.8135	1	54.0569	4	100.434	15	26.6309	5.09341	7	38.305	
Georgetown	Big East	30-7	0.81081	-1	3	2.59775	4	49.9854	61	91.3019	2	31.6931	3.83784	6	38.5674	
North Carolina	Atlantic Coast	31-7	0.81579	+1	4	2.53128	2	51.9129	2	104.285	69	20.6349	5.38808	5	38.8726	
Kansas	Big 12	33-5	0.86842	-2	5	2.52195	6	48.4235	10	97.0894	34	24.3432	4.44407	36	35.9379	
Memphis	Conference USA	33-4	0.89189	+1	6	2.49293	7	47.1829	18	95.8014	33	24.3931	4.85008	62	33.8088	
UCLA	Pac 10	30-6	0.83333	+3	7	2.49262	5	48.8894	77	90.4274	3	31.4722	5.13061	4	39.3314	
Oregon	Pac 10	29-8	0.78378	+1	8	2.43105	10	46.6069	12	96.4779	42	23.1353	3.69576	13	37.3965	
Wisconsin	Big 10	30-6	0.83333	-3	9	2.39145	8	47.0428	72	90.6877	7	29.3629	5.35574	23	36.8444	
Pittsburgh	Big East	29-8	0.78378	-2	10	2.34711	11	45.2764	47	92.1929	17	26.0952	4.42653	10	37.7739	
S Illinois	Missouri Val	28-7	0.8		11	2.28445	15	43.6229	169	84.1222	1	32.509	4.82217	29	36.4601	
UNLV	Mountain West	30-7	0.81081	+10	12	2.25469	22	42.1775	46	92.3077	45	22.8805	5.50377	56	34.1786	
Texas A&M	Big 12	27-7	0.79412	-1	13	2.24196	9	46.8757	42	92.7047	14	27.1765	4.62454	46	35.1072	
USC	Pac 10	25-12	0.67568	+11	14	2.22576	17	43.1954	35	93.4522	46	22.7502	4.33027	14	37.3641	
Kentucky	Southeastern	22-12	0.64706	+9	15	2.20906	12	44.7632	26	95.1325	48	22.6379	5.15729	1	40.4958	
Washington St	Pac 10	26-8	0.76471		16	2.19802	16	43.2336	117	87.2747	10	28.9674	4.85989	33	36.1401	
West Virginia	Big East	27-9	0.75	+25	17	2.18881	29	41.5632	48	92.0467	50	22.5271	5.13779	65	33.5865	
Winthrop	Big South	29-5	0.85294	-1	18	2.1863	40	39.7061	130	86.4684	16	26.2502	3.07893	140	28.7012	
Louisville	Big East	24-10	0.70588	-1	19	2.17767	13	44.4921	60	91.418	18	26.0859	3.76859	38	35.7774	
Tennessee	Southeastern	24-11	0.68571	+10	20	2.17679	20	42.4406	3	100.915	198	14.5356	5.88381	8	38.2969	
Maryland	Atlantic Coast	25-9	0.73529	+2	21	2.13705	14	43.9661	16	96.0156	65	20.9589	4.87487	26	36.6636	
Texas	Big 12	25-10	0.71429	-9	22	2.1203	31	41.1311	6	97.9871	154	16.1542	5.27133	45	35.2179	
