Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Florida	Southeastern	36-3	0.92308	+2	1	2.96839	1	51.258	76	91.1356	2	34.7408	3.72044	6	38.5606	
Connecticut	American Athletic	32-8	0.8	+15	2	2.78228	6	48.6391	43	92.931	7	30.3229	2.27762	3	38.7641	
Louisville	American Athletic	31-6	0.83784	-2	3	2.6824	2	51.2399	10	97.9935	15	27.8621	3.40705	24	36.1982	
Arizona	Pac 12	33-5	0.86842	-2	4	2.6736	3	49.7792	42	92.9859	3	31.4083	4.53481	8	37.7997	
Wichita St	Missouri Val	35-1	0.97222	+8	5	2.67112	5	48.7588	27	94.7043	11	28.6727	4.74116	97	31.375	
Virginia	Atlantic Coast	30-7	0.81081	+2	6	2.6605	4	49.1609	119	88.6507	1	35.1243	3.15901	9	37.3088	
Michigan St	Big 10	29-9	0.76316	-2	7	2.60776	7	48.1842	14	97.1494	21	25.6501	1.14839	7	38.5223	
Wisconsin	Big 10	30-8	0.78947	+1	8	2.6028	8	48.1344	18	96.1514	17	26.5966	1.94044	2	39.0258	
Kentucky	Southeastern	29-11	0.725	+11	9	2.59357	10	46.8767	19	95.8272	20	25.6675	3.78984	1	39.0937	
Michigan	Big 10	28-9	0.75676	+4	10	2.5524	12	44.9803	26	94.7663	24	24.8273	3.3293	5	38.5736	
Iowa St	Big 12	28-8	0.77778	-1	11	2.50985	16	44.4167	1	103.77	187	15.2594	4.69582	10	37.2189	
UCLA	Pac 12	28-9	0.75676	-5	12	2.50745	9	46.9138	3	100.631	73	20.8993	3.86709	16	36.5254	
San Diego St	Mountain West	31-5	0.86111	+10	13	2.4326	20	43.3755	142	87.3252	6	30.6676	2.76064	91	32.4851	
Villanova	Big East	29-5	0.85294	-8	14	2.40635	14	44.6416	23	95.2638	30	23.9934	3.39367	34	35.5787	
Pittsburgh	Atlantic Coast	26-10	0.72222	+4	15	2.35941	13	44.6418	45	92.7701	18	26.4884	2.49541	15	36.6095	
Syracuse	Atlantic Coast	28-6	0.82353	+11	16	2.35357	17	44.1428	132	87.7784	5	30.9808	2.46027	22	36.2301	
Kansas	Big 12	25-10	0.71429	-13	17	2.35091	15	44.4342	12	97.3931	60	21.6549	5.46619	4	38.6058	
Cincinnati	American Athletic	27-7	0.79412	+11	18	2.34265	22	42.5384	170	86.11	4	31.0441	4.30411	37	35.2366	
Gonzaga	West Coast	29-7	0.80556	+3	19	2.32998	26	42.0226	46	92.7553	32	23.8808	4.74248	87	32.6745	
Duke	Atlantic Coast	26-9	0.74286	-8	20	2.32889	19	43.3798	11	97.4074	82	20.5885	4.46008	12	36.9826	
Baylor	Big 12	26-12	0.68421	+5	21	2.31972	24	42.299	48	92.703	29	24.2076	3.94256	18	36.419	
New Mexico	Mountain West	27-7	0.79412	+8	22	2.31895	27	41.7954	47	92.7072	35	23.7042	2.71542	79	33.2495	
North Carolina	Atlantic Coast	24-10	0.70588	+8	23	2.292	25	42.1209	13	97.1666	102	19.5683	3.46697	13	36.9768	
Tennessee	Southeastern	24-13	0.64865		24	2.28787	11	45.685	60	91.969	14	28.3325	4.11747	17	36.4204	
Oregon	Pac 12	24-10	0.70588	+3	25	2.26967	21	42.6912	7	99.435	128	17.873	4.08217	26	36.1258	
Dayton	Atlantic 10	26-11	0.7027	+35	26	2.26325	34	40.4726	61	91.9517	49	23.1385	2.96038	43	34.8874	
St Joseph's PA	Atlantic 10	24-10	0.70588	+22	27	2.2549	36	39.8807	66	91.8258	53	22.6734	2.60228	56	34.3832	
Memphis	American Athletic	24-10	0.70588	+11	28	2.25463	37	39.8021	24	95.0502	107	19.3686	3.55192	30	35.7864	
Creighton	Big East	27-8	0.77143	-18	29	2.25141	28	41.5777	22	95.4782	76	20.7156	4.78073	51	34.7041	
Ohio St	Big 10	25-10	0.71429	-14	30	2.24461	23	42.3733	124	88.4208	12	28.569	3.59786	23	36.229	
Harvard	Ivy League	27-5	0.84375	+16	31	2.2446	30	40.7119	65	91.835	39	23.4921	2.14263	114	29.3911	
Stanford	Pac 12	23-13	0.63889	+1	32	2.24099	32	40.4935	70	91.3488	34	23.761	4.20816	11	37.0462	
Minnesota	Big 10	25-13	0.65789	+22	33	2.23405	42	38.9335	62	91.9517	62	21.598	3.93566	35	35.5776	
VA Commonwealth	Atlantic 10	26-9	0.74286	-13	34	2.22694	18	43.5273	29	94.5084	37	23.6357	4.17001	57	34.3792	
St Louis	Atlantic 10	27-7	0.79412	+2	35	2.2215	38	39.5848	117	88.7455	22	25.4592	3.16133	72	33.5344	
SF Austin	Southland	32-3	0.91429	+36	36	2.19619	60	36.401	135	87.7133	42	23.2998	3.47364	246	23.8419	
SMU	American Athletic	27-10	0.72973	-1	37	2.16838	31	40.5999	98	89.4634	19	25.7515	5.28103	64	34.0189	
Providence	Big East	23-12	0.65714	-4	38	2.16463	45	38.684	37	93.6173	100	19.6818	3.3129	40	35.0468	
Texas	Big 12	24-11	0.68571	-4	39	2.16447	49	37.8828	56	92.1665	88	20.3299	5.47324	32	35.7473	
