Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Duke	Atlantic Coast	35-4	0.89744		1	2.98443	1	32.899	1	95.2575	39	9.03007	3.34182	1	17.0371	
Stanford	Pac 10	31-3	0.91176		2	2.53562	3	27.815	4	88.0103	18	11.2067	3.53036	8	14.5664	
Arizona	Pac 10	28-8	0.77778	+2	3	2.51496	2	28.9673	5	87.9778	11	12.3889	3.53875	2	17.0127	
Michigan St	Big 10	28-5	0.84848	-1	4	2.34277	4	26.8524	25	82.0968	2	16.1395	4.85378	12	14.1641	
Illinois	Big 10	27-8	0.77143	+1	5	2.23073	5	26.2735	12	84.491	10	13.1767	4.94161	3	15.9535	
Maryland	Atlantic Coast	25-11	0.69444	+4	6	2.12306	6	24.9049	3	89.1932	72	7.10231	4.05191	4	15.6839	
North Carolina	Atlantic Coast	26-7	0.78788	-3	7	1.98179	9	20.7495	15	84.1656	57	7.97687	4.75705	6	15.1125	
UCLA	Pac 10	23-9	0.71875	+5	8	1.94511	8	20.8592	10	84.9896	68	7.27665	3.05784	5	15.4424	
Kentucky	Southeastern	24-10	0.70588	-2	9	1.88116	7	21.2691	7	86.5869	84	6.07114	4.25936	9	14.4757	
USC	Pac 10	24-10	0.70588	+11	10	1.87399	13	20.0612	21	82.8332	44	8.63754	3.42148	15	13.9111	
Boston College	Big East	27-5	0.84375	-3	11	1.79642	14	19.4993	23	82.2816	46	8.60773	4.50424	62	9.35719	
Florida	Southeastern	24-7	0.77419	-3	12	1.775	12	20.2874	19	83.1213	48	8.54565	4.42545	29	11.721	
Mississippi	Southeastern	27-8	0.77143	-2	13	1.76817	20	16.785	115	74.7033	9	13.4765	4.77103	24	11.9866	
Temple	Atlantic 10	24-13	0.64865	+15	14	1.74637	10	20.4601	62	78.0499	6	13.7928	2.58412	17	13.6861	
Kansas	Big 12	26-7	0.78788	-1	15	1.7397	11	20.3378	8	85.6587	83	6.07869	5.31409	27	11.9175	
Penn St	Big 10	21-12	0.63636	+11	16	1.61886	23	16.4557	9	85.3804	150	2.47844	3.96259	13	14.1413	
Cincinnati	Conference USA	25-10	0.71429	+11	17	1.59782	15	18.6185	49	78.7938	17	11.2164	3.44175	35	11.3455	
St Joseph's PA	Atlantic 10	26-7	0.78788	+5	18	1.56873	24	16.4448	16	83.8504	121	3.98186	3.84944	69	9.06463	
Butler	Midwestern CC	24-8	0.75	+14	19	1.56805	18	17.7449	116	74.6167	3	14.5269	5.44732	60	9.43507	
Tulsa	Western Athletic	26-11	0.7027	+45	20	1.56425	27	15.9545	43	79.441	58	7.90609	4.02409	64	9.27904	
