Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Missouri	Big 12	18-13	0.58065	-3	50	1.07453	44	12.6842	33	79.9265	122	3.65014	5.01419	36	11.0485	
Penn St	Big 10	19-16	0.54286	+6	51	1.07408	63	10.8477	31	80.1198	158	1.62857	5.42121	26	11.5464	
St Louis	Conference USA	19-14	0.57576	-9	52	1.06028	51	11.8788	196	69.6574	12	13.1269	5.20607	42	10.6993	
Vanderbilt	Southeastern	19-11	0.63333	+10	53	1.05756	59	11.2725	49	78.4508	121	3.70939	5.17778	49	10.2633	
Bowling Green	Mid-American	22-8	0.73333	+4	54	1.0559	76	9.48482	66	77.3316	133	3.04037	5.99326	104	7.05047	
Virginia	Atlantic Coast	19-12	0.6129	+9	55	1.05375	52	11.838	4	87.3115	265	-4.59164	3.99176	53	9.82939	
USC	Pac 10	16-14	0.53333	-1	56	1.05194	41	13.4719	14	82.8112	161	1.55641	4.45932	28	11.4956	
Long Beach St	Big West	24-6	0.8	+2	57	1.02963	57	11.3683	27	80.7262	162	1.55146	4.75529	159	3.52242	
Villanova	Big East	20-13	0.60606	-7	58	1.0134	66	10.3586	71	76.7753	107	4.48306	3.77762	51	10.0653	
BYU	Mountain West	22-11	0.66667	+1	59	1.01209	54	11.5986	156	71.8461	28	10.6327	6.65436	87	7.80798	
Creighton	Missouri Val	23-10	0.69697	-11	60	1.01185	61	11.1758	56	77.9073	113	4.15682	5.52556	115	6.31309	
NC State	Atlantic Coast	20-14	0.58824	+8	61	1.00896	46	12.4287	172	71.1252	17	12.1969	4.98169	54	9.76603	
California	Pac 10	18-15	0.54545	-1	62	0.996581	64	10.8102	91	75.5082	81	6.20011	4.14859	40	10.7185	
Missouri St	Missouri Val	23-11	0.67647	-9	63	0.992709	70	9.92674	199	69.5642	25	11.2487	5.65605	92	7.53597	
Ohio	Mid-American	20-13	0.60606	+7	64	0.980011	50	11.9088	88	75.6865	71	7.11421	5.03529	67	8.71244	
Indiana St	Missouri Val	22-10	0.6875	-12	65	0.977674	86	8.67924	201	69.5351	33	10.0343	5.83769	106	6.89077	
S Illinois	Missouri Val	20-13	0.60606	+4	66	0.977276	69	10.231	58	77.8137	130	3.30436	6.10403	73	8.47614	
Charlotte	Conference USA	17-16	0.51515	-2	67	0.97278	55	11.5084	143	72.7774	38	9.64294	5.51197	22	11.6795	
Georgetown	Big East	19-15	0.55882	-6	68	0.971121	77	9.29361	124	73.8041	77	6.39028	3.91472	64	9.06669	
San Diego	West Coast	20-9	0.68966	+7	69	0.955682	72	9.66996	159	71.7404	49	8.83139	4.12496	132	5.25126	
Toledo	Mid-American	18-13	0.58065	+2	70	0.933617	60	11.2129	103	74.8367	69	7.26605	4.49058	76	8.29409	
South Carolina	Southeastern	15-17	0.46875	+8	71	0.922451	56	11.3775	117	73.943	52	8.32175	5.00716	32	11.1948	
