Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Illinois	Big 10	37-2	0.94872		1	2.83003	1	55.0593	10	97.9361	4	30.2539	4.79192	8	38.492	
North Carolina	Atlantic Coast	33-4	0.89189		2	2.7805	2	54.8735	1	107.66	83	20.3443	4.64547	1	40.7379	
Louisville	Conference USA	33-5	0.86842	+3	3	2.5657	3	49.4472	8	98.1735	28	24.4071	4.10108	27	36.7184	
Duke	Atlantic Coast	27-6	0.81818	-1	4	2.47891	4	49.3004	14	95.8973	17	26.5338	4.35617	2	39.7723	
Kentucky	Southeastern	28-6	0.82353	+4	5	2.41221	10	46.6593	20	94.3788	22	25.4126	4.72988	12	38.0375	
Michigan St	Big 10	26-7	0.78788	+9	6	2.41093	6	48.6288	4	99.9659	59	21.7963	4.86385	14	37.8799	
Washington	Pac 10	29-6	0.82857	-2	7	2.37439	13	45.5088	3	104.431	210	14.2098	5.21045	21	37.0918	
Arizona	Pac 10	30-7	0.81081	+6	8	2.3715	8	47.384	5	99.6436	76	20.8716	4.69349	19	37.324	
Oklahoma St	Big 12	26-7	0.78788	-1	9	2.36048	7	47.4477	7	98.4951	56	22.0837	4.85919	11	38.138	
Wake Forest	Atlantic Coast	27-6	0.81818	-6	10	2.35042	9	46.8179	2	104.857	185	15.0912	4.60796	3	39.4096	
Villanova	Big East	24-8	0.75	+6	11	2.34824	5	48.9976	19	94.748	9	27.382	2.71832	9	38.4626	
Wisconsin	Big 10	25-9	0.73529	+6	12	2.32755	16	44.8938	95	88.1576	5	29.8694	5.08852	6	38.8187	
Florida	Southeastern	24-8	0.75	-3	13	2.31913	11	46.4751	29	93.6887	21	25.9206	4.21464	20	37.2052	
Syracuse	Big East	27-7	0.79412	-7	14	2.27719	12	45.6162	27	93.785	25	24.9624	2.83131	35	36.258	
West Virginia	Big East	24-11	0.68571	+9	15	2.25403	24	42.8994	24	94.0943	57	21.937	1.94106	13	37.9062	
Utah	Mountain West	29-6	0.82857	+3	16	2.24167	20	44.1164	160	84.8741	2	32.3706	4.82784	80	33.5121	
Gonzaga	West Coast	26-5	0.83871	-6	17	2.22573	19	44.1256	9	98.1288	111	19.1273	4.52188	67	34.2056	
Connecticut	Big East	23-8	0.74194	-6	18	2.21895	15	45.3422	12	96.8686	64	21.6057	3.35758	15	37.7559	
Boston College	Big East	25-5	0.83333	-3	19	2.20646	22	43.4601	31	93.4546	37	23.1358	2.63841	33	36.405	
Georgia Tech	Atlantic Coast	20-12	0.625	+1	20	2.20337	18	44.2516	35	93.1789	29	24.2016	3.99565	5	39.3304	
Kansas	Big 12	23-7	0.76667	-8	21	2.18255	14	45.4212	15	95.8261	44	22.7277	4.59326	4	39.3549	
WI Milwaukee	Horizon	26-6	0.8125	+14	22	2.17785	29	41.6431	17	95.4652	105	19.3052	3.5748	105	31.8847	
Oklahoma	Big 12	25-8	0.75758	-3	23	2.15977	21	43.4922	43	92.5521	30	24.0717	5.32298	29	36.5861	
Texas Tech	Big 12	22-11	0.66667	+3	24	2.14372	27	41.8719	33	93.2761	60	21.7269	4.42388	22	37.0706	
NC State	Atlantic Coast	21-14	0.6	+3	25	2.13935	17	44.3224	60	90.791	14	26.6594	3.60326	7	38.8127	
Pacific	Big West	27-4	0.87097	-1	26	2.13235	38	39.3134	58	91.2173	70	21.2316	4.30088	106	31.8448	
New Mexico	Mountain West	26-7	0.78788	-4	27	2.10534	28	41.6442	53	91.5414	36	23.2256	4.42072	119	31.1284	
Alabama	Southeastern	24-8	0.75	-6	28	2.10248	25	42.6634	39	92.7571	39	23.0396	5.40905	43	35.7815	
Cincinnati	Conference USA	25-8	0.75758	+6	29	2.08749	23	43.0185	28	93.7522	49	22.3983	5.18582	48	35.4908	
S Illinois	Missouri Val	27-8	0.77143		30	2.06122	33	41.1207	118	87.3393	12	26.919	4.88831	69	34.186	
Pittsburgh	Big East	20-9	0.68966	-5	31	2.03651	26	41.903	52	91.5763	35	23.4574	2.58512	39	36.1175	
Iowa	Big 10	21-12	0.63636	-3	32	2.02376	31	41.1891	37	92.9284	66	21.3956	4.93422	16	37.7193	
St Joseph's PA	Atlantic 10	24-12	0.66667	+28	33	2.00873	35	40.2228	192	83.5629	6	29.7893	3.69944	78	33.5475	
G Washington	Atlantic 10	22-8	0.73333	-2	34	2.00246	32	41.1385	16	95.6375	120	18.628	2.58446	102	32.0846	
Creighton	Missouri Val	23-11	0.67647	-2	35	1.98948	34	40.7125	68	90.148	33	23.7004	2.79958	71	33.9226	
Mississippi St	Southeastern	23-11	0.67647	+4	36	1.98834	36	40.1349	41	92.5804	79	20.6897	5.09542	52	35.382	
Vermont	America East	25-7	0.78125	+10	37	1.98431	49	38.5003	77	89.2165	48	22.4117	4.30664	135	29.7333	
LSU	Southeastern	20-10	0.66667	-7	38	1.96816	37	39.5841	18	94.9726	140	17.7468	5.5561	36	36.251	
South Carolina	Southeastern	20-13	0.60606	+54	39	1.96162	47	38.6597	86	88.7887	42	23.0039	4.8486	40	36.1116	
Iowa St	Big 12	19-12	0.6129	+5	40	1.96011	39	39.2569	120	87.0764	23	25.3141	4.51594	41	36.1021	
Utah St	Big West	24-8	0.75	-4	41	1.94988	30	41.5665	97	88.1027	16	26.5996	5.16262	132	30.1806	
UAB	Conference USA	22-11	0.66667	+14	42	1.9409	45	38.8026	21	94.3057	143	17.6282	4.31479	57	34.62	
Minnesota	Big 10	21-11	0.65625	-9	43	1.93249	44	38.8724	116	87.4442	26	24.5605	5.35679	50	35.4307	
Old Dominion	Colonial	28-6	0.82353	-5	44	1.91913	57	37.1791	102	87.8716	47	22.4351	4.18909	173	27.9015	
Ohio St	Big 10	20-12	0.625	+1	45	1.91746	41	38.9572	72	89.6493	46	22.4395	5.62087	47	35.516	
Georgetown	Big East	19-13	0.59375	+3	46	1.91295	43	38.9014	163	84.7784	10	27.2555	3.49789	42	36.033	
Charlotte	Conference USA	21-8	0.72414	-3	47	1.90534	56	37.2922	13	96.25	211	14.1757	5.00596	72	33.8878	
Texas A&M	Big 12	21-10	0.67742	+12	48	1.90279	50	38.4722	67	90.2348	68	21.366	4.91215	89	32.964	
Maryland	Atlantic Coast	19-13	0.59375	+2	49	1.89925	40	39.1405	6	98.9559	223	13.3115	5.68914	25	36.7922	
Nevada	Western Athletic	25-7	0.78125	+12	50	1.89431	53	38.0721	154	85.1795	19	26.028	3.61424	121	30.7987	
UTEP	Western Athletic	27-8	0.77143	-9	51	1.88963	59	37.1101	49	92.0001	130	18.241	4.16363	156	29.0043	
Wichita St	Missouri Val	22-10	0.6875		52	1.8827	51	38.4247	63	90.5416	73	21.0193	4.26173	73	33.8629	
St Mary's CA	West Coast	25-9	0.73529	-15	53	1.88109	69	35.98	123	86.8733	50	22.2368	4.23718	112	31.6191	
