Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Syracuse	Big East	30-5	0.85714	+3	1	2.59168	4	44.4693	3	98.0604	37	19.6989	4.0823	2	34.0553	
Kentucky	Southeastern	32-4	0.88889	-1	2	2.47266	2	45.2828	13	94.8038	12	23.7688	5.66693	6	32.7481	
Kansas	Big 12	30-8	0.78947	+4	3	2.39826	3	44.9265	5	97.465	26	20.7553	5.34249	5	33.0696	
Arizona	Pac 10	28-4	0.875	-2	4	2.38013	5	44.3954	1	100.269	75	17.4213	3.89597	11	32.3559	
Pittsburgh	Big East	28-5	0.84848	-2	5	2.37311	1	45.5933	29	91.0758	1	27.808	4.39443	14	31.966	
Texas	Big 12	26-7	0.78788	-1	6	2.31803	7	42.112	2	98.5237	81	16.8777	5.69923	4	33.3448	
Marquette	Conference USA	27-6	0.81818	+5	7	2.28811	9	40.2384	7	96.8894	87	16.6394	5.10999	34	30.8541	
Oklahoma	Big 12	27-7	0.79412	-2	8	2.24262	8	40.5638	89	86.3402	2	27.5161	5.90879	12	32.2169	
Duke	Atlantic Coast	26-7	0.78788	+2	9	2.18427	6	42.1127	9	95.5596	36	19.8481	5.77027	17	31.657	
Georgia	Southeastern	19-8	0.7037		10	2.0985	13	38.4131	6	96.9207	125	14.7895	5.95122	1	34.273	
Notre Dame	Big East	24-10	0.70588	+11	11	2.09558	16	37.9305	12	95.0984	96	16.1251	4.89658	3	33.5517	
Connecticut	Big East	23-10	0.69697	+8	12	2.08846	10	39.6918	10	95.3707	72	17.6116	3.44333	7	32.5915	
Illinois	Big 10	25-7	0.78125		13	2.08509	11	39.2867	36	90.1676	14	22.4102	7.12149	43	30.2674	
Wake Forest	Atlantic Coast	25-6	0.80645	-6	14	2.08426	21	37.2882	22	92.2837	57	18.2985	5.95061	32	30.9262	
Butler	Horizon	27-6	0.81818	+11	15	2.03025	30	34.5375	157	83.0774	9	24.7552	5.9786	81	27.3654	
Florida	Southeastern	25-8	0.75758	-7	16	2.02887	15	37.9797	32	90.7714	28	20.4992	6.27942	27	31.163	
Michigan St	Big 10	22-13	0.62857	+25	17	2.00849	12	38.6117	110	85.1977	3	26.7069	6.40144	8	32.5114	
Wisconsin	Big 10	24-8	0.75	+7	18	2.0078	19	37.5008	112	85.1092	7	25.683	6.61303	47	30.011	
Xavier	Atlantic 10	26-6	0.8125	-5	19	1.99139	23	36.2523	26	91.4054	58	18.142	4.50965	70	28.068	
Louisville	Conference USA	25-7	0.78125	-5	20	1.97226	17	37.8798	4	97.9374	153	13.2362	5.38689	49	29.8136	
