Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Maryland	Atlantic Coast	21-10	0.67742	+9	21	1.96815	14	38.3092	14	93.8891	69	17.7134	6.06934	33	30.9009	
Missouri	Big 12	22-11	0.66667	+2	22	1.94517	27	35.0356	40	89.9374	54	18.3919	6.83626	10	32.4957	
Georgetown	Big East	19-15	0.55882	+49	23	1.91863	20	37.3174	21	92.6643	66	17.943	2.63154	15	31.9135	
Oklahoma St	Big 12	22-10	0.6875	+7	24	1.9113	24	36.0637	94	85.8	13	23.5574	5.54881	22	31.335	
Stanford	Pac 10	24-9	0.72727	-2	25	1.91036	29	34.6308	65	87.7582	32	20.1667	3.64924	42	30.3439	
Mississippi St	Southeastern	21-10	0.67742	-10	26	1.90824	18	37.6585	125	84.3414	4	26.6116	5.50852	25	31.234	
St John's	Big East	21-13	0.61765	+32	27	1.90222	42	33.1608	92	85.8375	27	20.6149	2.59304	30	30.978	
California	Pac 10	22-9	0.70968		28	1.87878	38	33.5982	54	88.8666	62	18.0256	4.41984	48	29.988	
Auburn	Southeastern	22-12	0.64706	+14	29	1.87711	31	34.4263	73	87.3574	30	20.3628	4.64744	46	30.0513	
Memphis	Conference USA	23-7	0.76667	-12	30	1.8685	28	34.7925	38	90.0064	61	18.0808	5.63086	69	28.1044	
Dayton	Atlantic 10	24-6	0.8	-14	31	1.8662	50	32.3823	39	89.979	106	15.6985	4.8516	72	27.9408	
Creighton	Missouri Val	29-5	0.85294	-13	32	1.85408	36	34.1172	27	91.1252	93	16.2893	4.67677	117	24.9352	
Texas Tech	Big 12	22-13	0.62857	+8	33	1.85189	25	35.4089	76	87.1505	21	21.5521	5.35523	23	31.3197	
St Joseph's PA	Atlantic 10	23-7	0.76667	-13	34	1.84747	22	36.4096	107	85.2764	11	24.4256	3.9227	80	27.5415	
C Michigan	Mid-American	25-7	0.78125		35	1.82915	51	32.286	15	93.4483	180	12.1324	4.30799	100	25.7706	
Arizona St	Pac 10	20-12	0.625	+3	36	1.8291	26	35.0864	16	93.1244	117	15.2556	4.67193	36	30.7275	
Boston College	Big East	19-12	0.6129	-3	37	1.82366	33	34.3915	8	96.6369	201	11.0496	2.19024	21	31.4516	
Utah	Mountain West	25-8	0.75758	-2	38	1.81753	52	32.1669	200	80.9758	10	24.4854	5.1896	83	26.8884	
Purdue	Big 10	19-11	0.63333	+15	39	1.81308	32	34.4095	61	88.1751	41	19.5267	7.16951	24	31.2481	
Gonzaga	West Coast	24-9	0.72727	+7	40	1.80533	34	34.3199	20	92.745	122	14.8709	3.82575	82	27.1281	
Indiana	Big 10	21-13	0.61765	+10	41	1.80063	45	32.9688	79	87.0235	44	19.2367	6.80981	16	31.7567	
Providence	Big East	18-14	0.5625	+10	42	1.78797	37	34.0463	81	86.8488	29	20.4918	2.61912	18	31.6467	
Oregon	Pac 10	23-10	0.69697	-11	43	1.77445	43	33.0897	19	92.8525	148	13.5315	4.77888	63	28.5543	
BYU	Mountain West	23-9	0.71875	-11	44	1.76865	35	34.1569	106	85.2966	17	22.1538	5.12254	73	27.8168	
S Illinois	Missouri Val	24-7	0.77419	-16	45	1.75787	55	31.6705	47	89.4052	110	15.559	4.60468	101	25.7616	
WI Milwaukee	Horizon	24-8	0.75	-6	46	1.75031	47	32.6873	24	91.526	131	14.4507	6.10418	95	26.0278	
Colorado	Big 12	20-12	0.625	-9	47	1.7489	48	32.6529	28	91.1119	124	14.8354	7.7107	40	30.3939	
LSU	Southeastern	21-11	0.65625	-21	48	1.74804	39	33.384	62	88.0648	50	18.6143	6.45409	58	28.9078	
Seton Hall	Big East	17-13	0.56667	-4	49	1.74684	44	32.9833	127	84.3188	18	21.9552	4.32128	13	32.0119	
North Carolina	Atlantic Coast	19-16	0.54286	+7	50	1.71767	54	32.035	42	89.7201	108	15.6122	5.22526	9	32.5084	
NC State	Atlantic Coast	18-13	0.58065	-2	51	1.70424	49	32.61	63	88.0615	67	17.8439	5.96216	38	30.4816	
Georgia Tech	Atlantic Coast	16-15	0.51613	+21	52	1.69523	40	33.3129	35	90.4285	94	16.1803	6.21871	26	31.2035	
Penn	Ivy League	22-6	0.78571	-16	53	1.69506	61	30.6774	126	84.3206	38	19.6564	3.03976	152	22.8658	
Tulsa	Western Athletic	23-10	0.69697	+17	54	1.68553	41	33.167	71	87.4843	46	18.9749	5.30797	99	25.772	
UNC Wilmington	Colonial	24-7	0.77419	-7	55	1.68303	46	32.7931	113	84.9988	23	21.0824	3.97689	160	22.423	
WKU	Sun Belt	24-9	0.72727	-6	56	1.67934	57	31.3359	77	87.138	74	17.4944	5.38675	123	24.6808	
Temple	Atlantic 10	18-16	0.52941	+8	57	1.67579	60	30.8649	165	82.675	22	21.4833	3.53347	51	29.7116	
Minnesota	Big 10	19-14	0.57576	+42	58	1.67383	64	30.4002	37	90.1431	146	13.5496	6.22651	55	29.2794	
Manhattan	Metro Atlantic	23-7	0.76667	-4	59	1.66375	58	31.1435	66	87.6986	85	16.7413	2.81225	145	23.3097	
Tennessee	Southeastern	17-12	0.58621	-16	60	1.6573	65	30.1289	139	83.7916	39	19.6311	5.11584	39	30.4322	
Alabama	Southeastern	17-12	0.58621	-15	61	1.63744	53	32.1397	88	86.3441	45	19.0895	6.73243	35	30.8332	
Michigan	Big 10	17-13	0.56667	+8	62	1.63524	63	30.4875	108	85.2513	52	18.5308	6.14584	50	29.8003	
UAB	Conference USA	21-13	0.61765	+4	63	1.62905	67	29.9239	18	92.9326	214	10.2868	3.82327	93	26.0567	
Weber St	Big Sky	26-6	0.8125	-11	64	1.62796	86	28.0732	60	88.2603	157	13.1077	5.41433	182	21.2044	
Holy Cross	Patriot League	26-5	0.83871	-4	65	1.62789	70	29.2981	177	82.2635	31	20.3298	4.20751	228	19.2099	
Ohio St	Big 10	17-15	0.53125	+3	66	1.62232	72	29.0655	192	81.2932	24	21.0652	5.82267	37	30.59	
IL Chicago	Horizon	21-9	0.7	-7	67	1.61536	62	30.6683	46	89.4422	129	14.5174	5.77071	109	25.439	
Cincinnati	Conference USA	17-12	0.58621	-12	68	1.59378	56	31.6611	170	82.6066	15	22.3487	5.57109	53	29.499	
Col Charleston	Southern	25-8	0.75758	+14	69	1.57586	94	27.5254	116	84.6988	97	16.1211	2.27782	183	21.1229	
Troy	Atlantic Sun	26-6	0.8125	-8	70	1.57094	93	27.5494	48	89.3992	195	11.4461	4.75532	218	19.7935	
Virginia	Atlantic Coast	16-16	0.5	+9	71	1.56505	73	29.0305	53	89.0954	154	13.2315	5.1464	28	31.1175	
Villanova	Big East	15-16	0.48387	-4	72	1.55939	59	31.001	69	87.6355	86	16.6544	4.53804	20	31.4712	
ULL	Sun Belt	20-10	0.66667	-9	73	1.55819	66	29.9299	41	89.7401	150	13.4863	4.63633	118	24.9318	
Iowa	Big 10	17-14	0.54839	+17	74	1.54886	75	28.6701	99	85.549	91	16.4133	5.45866	68	28.2621	
Fresno St	Western Athletic	20-8	0.71429	+10	75	1.52914	97	27.2164	111	85.1293	114	15.3798	5.3307	135	24.0907	
UNLV	Mountain West	21-11	0.65625	-18	76	1.52564	79	28.4376	43	89.7135	184	12.0171	4.08679	84	26.7287	
West Virginia	Big East	14-15	0.48276	+16	77	1.50652	80	28.3441	143	83.6419	64	17.9946	4.0106	45	30.1034	
San Diego	West Coast	18-12	0.6	-1	78	1.50641	71	29.1883	52	89.1153	151	13.3658	3.34355	94	26.0306	
Austin Peay	OH Valley	23-8	0.74194	-13	79	1.50359	128	24.8279	211	79.9897	59	18.1309	4.71971	192	20.9006	
Wyoming	Mountain West	21-11	0.65625	-5	80	1.50305	109	26.0284	59	88.3467	205	10.977	4.77035	113	25.2516	
W Michigan	Mid-American	20-11	0.64516	-3	81	1.49999	88	27.9559	193	81.2348	34	20.0184	5.27109	111	25.3582	
Detroit	Horizon	18-12	0.6	+5	82	1.49499	68	29.6742	120	84.4832	53	18.4803	6.14411	120	24.8607	
Rhode Island	Atlantic 10	19-12	0.6129	-2	83	1.48752	113	25.6027	142	83.6627	118	15.2319	3.47539	90	26.3097	
St Louis	Conference USA	16-14	0.53333	-21	84	1.48746	95	27.3889	279	75.4774	8	25.2028	5.29397	61	28.846	
DePaul	Conference USA	16-13	0.55172	-11	85	1.48204	78	28.5108	160	82.8782	48	18.9241	5.60116	62	28.7351	
Mississippi	Southeastern	14-15	0.48276	-7	86	1.47688	69	29.6683	119	84.6114	55	18.3517	5.40334	57	28.9968	
New Mexico St	Sun Belt	20-9	0.68966	+1	87	1.47207	91	27.7048	86	86.4069	128	14.5933	4.91251	162	22.3634	
USC	Pac 10	13-17	0.43333	-2	88	1.46408	74	28.9038	25	91.4331	207	10.7647	3.38915	52	29.6017	
Florida St	Atlantic Coast	14-15	0.48276	+9	89	1.46307	76	28.5229	184	81.8211	35	19.9987	6.30401	54	29.295	
Iowa St	Big 12	17-14	0.54839	-6	90	1.46075	77	28.512	153	83.2251	51	18.5788	6.02752	74	27.7339	
Rutgers	Big East	12-16	0.42857	+23	91	1.4597	92	27.6862	122	84.4285	88	16.5486	3.87872	41	30.3508	
Kent	Mid-American	21-10	0.67742	-16	92	1.45622	98	27.1855	67	87.6448	165	12.8341	3.22781	130	24.4224	
Hawaii	Western Athletic	19-12	0.6129	+36	93	1.45437	99	27.0852	146	83.6267	84	16.7514	5.91771	115	25.0957	
Utah St	Big West	24-9	0.72727		94	1.45171	96	27.3708	214	79.8054	25	20.8588	3.99393	176	21.4217	
UCLA	Pac 10	10-19	0.34483		95	1.44754	81	28.2787	33	90.5271	202	11.0473	2.80511	19	31.4954	
Baylor	Big 12	14-14	0.5	+6	96	1.43375	100	26.8104	128	84.284	102	15.8205	5.48088	76	27.6933	
South Carolina	Southeastern	12-16	0.42857	-7	97	1.43351	85	28.1183	181	82.1028	43	19.311	6.10238	31	30.9302	
Clemson	Atlantic Coast	15-13	0.53571	+10	98	1.43342	101	26.6736	163	82.7026	76	17.2634	5.82028	78	27.5566	
Colorado St	Mountain West	19-14	0.57576	-17	99	1.43267	105	26.4639	78	87.1017	166	12.6526	5.30668	114	25.1007	
Valparaiso	Mid-Continent	20-11	0.64516	-3	100	1.43172	84	28.2103	155	83.1567	56	18.3499	5.5516	139	23.8767	
Nevada	Western Athletic	18-14	0.5625	+6	101	1.42576	83	28.2166	50	89.3113	176	12.2001	5.42699	103	25.7181	
Siena	Metro Atlantic	21-11	0.65625	+13	102	1.42521	102	26.6628	85	86.4212	147	13.5371	2.96723	168	22.1007	
Missouri St	Missouri Val	17-12	0.58621	-11	103	1.41922	87	27.9743	229	79.0665	16	22.2055	3.61367	128	24.4844	
Texas A&M	Big 12	14-14	0.5	+1	104	1.41584	103	26.6392	70	87.6125	172	12.3186	6.40742	59	28.8891	
St Bonaventure	Atlantic 10	13-14	0.48148	-6	105	1.40827	89	27.883	11	95.276	280	5.90023	3.53224	75	27.6944	
UC Irvine	Big West	20-9	0.68966	+3	106	1.40795	123	25.1984	158	83.0078	113	15.4813	3.82748	180	21.3443	
Rice	Western Athletic	19-10	0.65517	+13	107	1.40314	116	25.454	83	86.7272	183	12.021	5.94384	156	22.5477	
Mercer	Atlantic Sun	23-6	0.7931	-5	108	1.38963	142	23.6761	56	88.5366	251	8.4344	3.8105	267	16.8661	
Wichita St	Missouri Val	18-12	0.6	-20	109	1.38886	121	25.3188	80	86.9086	188	11.7052	3.98608	136	24.0803	
Charlotte	Conference USA	13-16	0.44828	-6	110	1.38448	104	26.5809	136	83.8737	99	15.9991	6.01711	60	28.8721	
N Illinois	Mid-American	17-14	0.54839	-10	111	1.38167	110	25.8305	140	83.7909	116	15.3329	4.09846	108	25.4441	
San Diego St	Mountain West	16-14	0.53333	-1	112	1.37715	106	26.308	100	85.521	137	14.0787	4.64599	104	25.6603	
SMU	Western Athletic	17-13	0.56667	+14	113	1.36861	132	24.6198	91	85.8617	181	12.0518	5.79443	119	24.8903	
Miami FL	Big East	11-17	0.39286	+21	114	1.3644	90	27.7228	131	84.1948	82	16.8195	4.33302	56	29.2511	
Fairfield	Metro Atlantic	19-12	0.6129	-3	115	1.35586	134	24.4052	151	83.3654	132	14.3381	1.79321	143	23.3524	
Richmond	Atlantic 10	15-14	0.51724	-20	116	1.35571	119	25.4254	265	77.042	19	21.6765	3.54915	88	26.4997	
Chattanooga	Southern	21-9	0.7	+9	117	1.35354	127	24.8477	30	90.9105	266	7.23277	2.93748	216	19.8899	
ETSU	Southern	20-11	0.64516	+7	118	1.35287	124	25.0018	31	90.8828	264	7.41112	3.06417	195	20.7119	
San Francisco	West Coast	15-14	0.51724	+2	119	1.34933	112	25.6321	148	83.5501	115	15.3767	3.79896	122	24.783	
Oregon St	Pac 10	13-15	0.46429	-3	120	1.34915	118	25.4273	196	81.0552	70	17.6649	3.16688	79	27.5451	
Drexel	Colonial	19-12	0.6129	-11	121	1.34649	120	25.348	161	82.8492	103	15.7903	3.48004	155	22.5996	
Kansas St	Big 12	13-17	0.43333	+8	122	1.33701	82	28.2782	118	84.6736	79	16.898	6.50747	64	28.4876	
Vanderbilt	Southeastern	11-18	0.37931	-10	123	1.33644	107	26.0589	98	85.5598	143	13.7929	5.45122	29	31.0821	
Morehead St	OH Valley	20-9	0.68966	-8	124	1.32714	150	22.9758	58	88.4772	257	7.79288	4.43554	227	19.2251	
VA Commonwealth	Colonial	18-10	0.64286	-1	125	1.32683	114	25.5845	84	86.7175	179	12.1551	3.62343	197	20.6547	
South Florida	Conference USA	15-14	0.51724	-8	126	1.31927	133	24.4125	179	82.1216	109	15.5868	5.92854	98	25.8495	
Tulane	Conference USA	16-15	0.51613	-8	127	1.31623	130	24.6966	149	83.5044	130	14.4861	5.88049	126	24.5021	
Tennessee Tech	OH Valley	20-12	0.625	-5	128	1.31459	115	25.5365	105	85.332	149	13.4922	5.2232	207	20.3689	
Sam Houston St	Southland	23-7	0.76667	-23	129	1.31283	157	22.2475	168	82.6309	163	12.9093	5.35771	268	16.7019	
Niagara	Metro Atlantic	17-12	0.58621	+6	130	1.30537	149	23.0278	57	88.5058	256	7.8191	2.99043	166	22.2323	
Boston Univ	America East	20-11	0.64516	-3	131	1.30184	129	24.7905	213	79.966	60	18.1201	3.4298	186	21.0522	
MTSU	Sun Belt	16-14	0.53333	-1	132	1.30132	140	23.8538	189	81.6124	112	15.5382	4.3701	140	23.838	
Virginia Tech	Big East	11-18	0.37931	+18	133	1.2856	126	24.8793	90	86.1743	185	11.9957	4.30614	67	28.3987	
IUPUI	Mid-Continent	20-14	0.58824	-2	134	1.2834	144	23.6722	138	83.8054	156	13.1577	4.82635	174	21.724	
Ohio	Mid-American	14-16	0.46667	-2	135	1.27848	148	23.0528	95	85.7746	210	10.5732	4.08933	91	26.0934	
Loyola-Chicago	Horizon	15-16	0.48387	+8	136	1.27696	125	24.8904	55	88.8289	237	9.35104	6.95269	107	25.4919	
Brown	Ivy League	17-12	0.58621	-15	137	1.27269	145	23.327	51	89.2528	265	7.3741	2.65321	190	20.9986	
UCF	Atlantic Sun	21-11	0.65625	+2	138	1.26701	136	24.2003	188	81.6359	101	15.8588	4.0529	222	19.4737	
Murray St	OH Valley	17-12	0.58621	-2	139	1.26344	108	26.0407	109	85.2179	136	14.1143	4.99421	173	21.74	
Santa Barbara	Big West	18-14	0.5625	-1	140	1.26302	111	25.7114	257	77.4469	20	21.5589	4.89843	161	22.3995	
Pepperdine	West Coast	15-13	0.53571	+2	141	1.26117	154	22.732	23	92.1576	303	3.86351	3.36514	137	24.0517	
E Washington	Big Sky	18-13	0.58065	-8	142	1.26044	122	25.205	144	83.6372	123	14.8659	4.6797	151	22.8708	
Princeton	Ivy League	16-11	0.59259	-5	143	1.25828	143	23.6759	222	79.3606	71	17.6168	1.93903	188	21.0232	
Ark Little Rock	Sun Belt	18-12	0.6	+2	144	1.25381	171	21.687	162	82.8091	177	12.1731	5.13058	172	21.7863	
George Mason	Colonial	16-12	0.57143		145	1.25059	139	23.9504	264	77.1021	33	20.1411	4.15681	158	22.5211	
G Washington	Atlantic 10	12-17	0.41379	-4	146	1.2446	117	25.4506	75	87.2838	193	11.4615	3.8358	87	26.5327	
Washington	Pac 10	10-17	0.37037	+1	147	1.24323	131	24.6648	82	86.8073	199	11.1528	4.36952	65	28.4756	
Davidson	Southern	17-10	0.62963	+8	148	1.24296	141	23.8299	72	87.3666	228	9.75531	3.91904	217	19.7946	
Toledo	Mid-American	13-16	0.44828	+1	149	1.24118	135	24.3444	147	83.5965	138	14.0439	5.54263	92	26.0626	
Miami OH	Mid-American	13-15	0.46429	-3	150	1.22689	147	23.1825	315	70.3447	6	26.1346	4.85691	105	25.5862	
Arkansas	Southeastern	9-19	0.32143	-10	151	1.22122	146	23.2742	252	77.9028	49	18.6622	6.19942	44	30.2076	
St Mary's CA	West Coast	15-15	0.5	+1	152	1.2169	137	24.1119	253	77.8083	40	19.5975	3.03651	144	23.3257	
Appalachian St	Southern	19-10	0.65517	+10	153	1.21349	166	21.8522	17	92.9644	315	2.17958	4.015	224	19.3932	
SF Austin	Southland	21-8	0.72414	-5	154	1.21043	152	22.91	207	80.3014	100	15.9032	5.13141	283	15.9294	
Vermont	America East	21-12	0.63636	-3	155	1.20939	155	22.5772	238	78.7047	77	17.1664	4.12234	235	18.3733	
Denver	Sun Belt	17-15	0.53125	-1	156	1.20908	151	22.9234	152	83.2799	159	12.938	5.15836	157	22.5453	
Iona	Metro Atlantic	17-12	0.58621		157	1.20563	156	22.548	114	84.9045	206	10.9393	3.53214	204	20.3979	
Northwestern	Big 10	12-17	0.41379	+21	158	1.18841	165	21.8672	245	78.2689	80	16.8896	5.79215	85	26.6888	
Evansville	Missouri Val	12-16	0.42857	-5	159	1.17653	167	21.8394	97	85.5614	234	9.57191	4.48571	96	25.993	
Ball St	Mid-American	13-17	0.43333	-2	160	1.17059	153	22.8846	49	89.3851	270	6.79602	4.97676	102	25.7424	
South Alabama	Sun Belt	14-14	0.5	+1	161	1.17038	158	22.1797	154	83.2249	173	12.251	4.64126	146	23.2362	
Nebraska	Big 12	11-19	0.36667	+6	162	1.16934	160	21.9199	249	78.1165	78	17.0958	6.81896	66	28.4472	
Belmont	Atlantic Sun	17-12	0.58621	+2	163	1.16557	168	21.8328	159	82.9146	175	12.2129	4.35449	202	20.4943	
Cal Poly SLO	Big West	16-14	0.53333	+3	164	1.16543	174	21.3812	169	82.6271	182	12.0488	3.15515	184	21.1024	
Bowling Green	Mid-American	13-16	0.44828	-5	165	1.16223	176	21.1906	218	79.6964	126	14.7874	4.75151	131	24.3489	
Akron	Mid-American	14-14	0.5	-5	166	1.16181	159	21.995	44	89.6126	283	5.67429	4.58442	164	22.3002	
Southern Miss	Conference USA	13-16	0.44828	-8	167	1.159	173	21.4625	195	81.0749	144	13.6813	6.17406	110	25.3828	
La Salle	Atlantic 10	12-17	0.41379	-4	168	1.14379	162	21.8912	166	82.6494	168	12.5322	3.87248	106	25.5384	
Wagner	Northeast	21-11	0.65625		169	1.13555	183	20.3381	134	83.9999	231	9.63725	4.35431	240	18.0791	
Bradley	Missouri Val	12-18	0.4	-4	170	1.13085	138	23.9894	93	85.8273	194	11.4561	4.07782	134	24.1819	
Jacksonville St	Atlantic Sun	20-10	0.66667		171	1.12839	190	19.6363	129	84.2206	249	8.70825	4.79093	272	16.4227	
Louisiana Tech	Western Athletic	12-15	0.44444	+10	172	1.12622	175	21.3283	173	82.4078	174	12.2159	5.51976	127	24.5003	
Delaware	Colonial	15-14	0.51724	-1	173	1.126	181	20.4418	182	82.0435	189	11.6912	3.36623	169	22.0131	
Yale	Ivy League	14-13	0.51852	-4	174	1.11642	169	21.8225	171	82.5117	167	12.6112	1.92268	189	21.0127	
Marshall	Mid-American	14-15	0.48276		175	1.10714	170	21.8144	137	83.8063	196	11.3002	5.42395	154	22.6627	
East Carolina	Conference USA	12-15	0.44444	-2	176	1.10501	177	21.0414	251	77.925	92	16.4063	5.22228	124	24.6114	
Oral Roberts	Mid-Continent	18-10	0.64286	+1	177	1.10208	161	21.8953	103	85.3939	227	9.7953	5.76732	241	18.0442	
Air Force	Mountain West	12-16	0.42857	-5	178	1.09911	164	21.8724	320	68.8735	5	26.2897	4.89981	132	24.2804	
New Orleans	Sun Belt	15-14	0.51724	+1	179	1.09149	180	20.6422	199	81.0128	160	12.9263	5.88799	171	21.9284	
E Illinois	OH Valley	14-15	0.48276	-4	180	1.08771	185	20.2178	64	87.937	288	5.57529	5.09311	165	22.2347	
E Michigan	Mid-American	14-14	0.5	-4	181	1.08423	186	20.0438	34	90.4969	311	2.83613	5.62539	191	20.9187	
Massachusetts	Atlantic 10	11-18	0.37931	-1	182	1.07079	184	20.2354	270	76.7246	83	16.8001	4.19748	116	24.9909	
Arkansas St	Sun Belt	13-15	0.46429		183	1.06825	172	21.6272	96	85.7617	241	9.16168	5.11998	181	21.304	
American Univ	Patriot League	16-14	0.53333	+5	184	1.06109	163	21.8751	231	79.0107	95	16.1608	4.81335	230	18.9803	
Marist	Metro Atlantic	13-16	0.44828	+3	185	1.05443	197	18.9063	150	83.3903	246	8.81153	2.42481	170	21.949	
Idaho St	Big Sky	15-14	0.51724		186	1.0502	193	19.4239	135	83.9165	247	8.80334	4.5812	219	19.6574	
Oakland	Mid-Continent	17-11	0.60714	-2	187	1.04671	192	19.4431	68	87.6393	291	5.09624	5.62876	258	17.3299	
Northern Iowa	Missouri Val	11-17	0.39286	-4	188	1.04407	182	20.3885	215	79.8006	140	13.8816	4.38669	141	23.7017	
Boise St	Western Athletic	13-16	0.44828	+7	189	1.03861	187	20.008	259	77.289	98	16.011	4.87655	159	22.4958	
Old Dominion	Colonial	12-15	0.44444		190	1.03175	179	20.723	233	78.9387	120	15.0724	4.27643	187	21.0327	
CS Northridge	Big West	14-15	0.48276	+2	191	1.02265	191	19.5535	164	82.6857	216	10.161	3.77835	209	20.1279	
UT Arlington	Southland	16-13	0.55172	-5	192	1.01408	189	19.8599	278	75.5852	73	17.571	3.86351	242	18.0277	
TCU	Conference USA	9-19	0.32143	-2	193	1.01286	178	20.877	45	89.5436	295	4.62716	5.06693	89	26.4177	
Wofford	Southern	14-15	0.48276	+9	194	1.01269	194	19.2277	101	85.4921	269	7.02607	3.44173	221	19.6082	
Portland	West Coast	11-17	0.39286	-1	195	1.00045	201	18.544	204	80.5402	197	11.2995	3.5321	149	23.0232	
Ga Southern	Southern	16-13	0.55172	+8	196	1.00033	207	18.3142	74	87.2896	301	4.31349	3.19354	259	17.3013	
Winthrop	Big South	20-10	0.66667	+3	197	0.997832	202	18.4778	224	79.3105	169	12.4618	3.20734	308	14.1129	
Hartford	America East	16-13	0.55172	-3	198	0.997312	195	19.1009	258	77.3469	121	15.0496	4.68801	251	17.7233	
Santa Clara	West Coast	13-15	0.46429	-2	199	0.987413	221	17.1104	271	76.5497	141	13.8527	3.50221	179	21.3449	
New Mexico	Mountain West	10-18	0.35714	-8	200	0.981569	196	19.0701	117	84.692	261	7.67027	4.73181	133	24.183	
Northern Arizona	Big Sky	15-13	0.53571	-3	201	0.981055	200	18.7306	172	82.4344	233	9.59347	4.77324	237	18.3127	
Idaho	Big West	13-15	0.46429	+6	202	0.977321	212	17.9589	285	74.7065	89	16.5447	3.5586	212	19.9708	
Northeastern	America East	16-15	0.51613	+4	203	0.963026	219	17.3798	176	82.3499	253	8.32227	3.90698	260	17.2947	
Pacific	Big West	12-16	0.42857	+10	204	0.962607	188	19.887	227	79.2391	139	13.9404	4.89059	167	22.1575	
Samford	Atlantic Sun	13-15	0.46429	+1	205	0.961337	208	18.1324	294	73.6914	68	17.7333	4.75303	208	20.1401	
Birmingham So	Big South	19-9	0.67857	+10	206	0.95786	228	16.3965	254	77.7618	187	11.9313	3.65498	316	13.1214	
Washington St	Pac 10	7-20	0.25926	+3	207	0.955689	205	18.4396	156	83.1326	250	8.60107	4.33732	77	27.577	
Binghamton	America East	14-13	0.51852	+5	208	0.948516	211	18.0346	262	77.1255	133	14.2071	4.81078	231	18.8456	
Montana	Big Sky	13-17	0.43333	+3	209	0.948199	217	17.4678	197	81.0202	229	9.74684	4.9508	193	20.7396	
Illinois St	Missouri Val	8-21	0.27586	-11	210	0.947931	210	18.053	242	78.451	164	12.8992	3.6596	112	25.3505	
Rider	Metro Atlantic	12-16	0.42857	+4	211	0.946532	209	18.1074	247	78.2148	155	13.1902	2.56629	201	20.5075	
S Carolina St	Mid-Eastern AC	20-11	0.64516	-1	212	0.94426	237	15.5889	178	82.1726	273	6.71269	3.5774	309	14.0904	
Penn St	Big 10	7-21	0.25	+14	213	0.939619	213	17.8611	206	80.4426	209	10.7115	6.33391	71	28.035	
Houston	Conference USA	8-20	0.28571	-13	214	0.938853	215	17.5111	305	71.8411	47	18.9636	5.3846	97	25.9877	
McNeese St	Southland	15-14	0.51724	-13	215	0.934914	204	18.4616	191	81.3787	212	10.3783	4.73673	238	18.2195	
TN Martin	OH Valley	14-14	0.5	-11	216	0.932291	223	16.9335	121	84.4448	281	5.77851	4.38461	234	18.4536	
James Madison	Colonial	13-17	0.43333	+1	217	0.92174	218	17.4425	237	78.7591	186	11.9716	3.55599	214	19.9089	
