Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Kansas	Big 12	37-3	0.925	+1	1	3.03378	1	55.0439	5	99.3721	5	28.7831	4.5819	1	36.8795	
Memphis	Conference USA	38-2	0.95	+2	2	2.87531	2	52.5519	4	99.5874	11	26.0783	4.29905	17	34.4778	
North Carolina	Atlantic Coast	36-3	0.92308		3	2.7979	3	50.0148	1	106.929	137	16.2014	3.23842	2	36.3132	
UCLA	Pac 10	35-4	0.89744	-3	4	2.71452	4	48.181	36	92.2834	4	29.0096	2.76721	7	35.5593	
Wisconsin	Big 10	31-5	0.86111		5	2.55178	6	46.5375	115	86.3351	1	33.319	3.39143	16	34.4817	
Texas	Big 12	31-7	0.81579	+2	6	2.5215	9	45.2974	22	94.6448	26	23.7654	4.73511	3	36.0272	
Davidson	Southern	29-7	0.80556	+10	7	2.50464	5	46.6766	12	95.866	24	23.925	3.53081	66	31.4709	
Georgetown	Big East	28-6	0.82353	+1	8	2.45245	8	45.8186	73	89.0904	3	29.8472	3.09282	5	35.6172	
Tennessee	Southeastern	30-5	0.85714	+1	9	2.4036	14	42.4738	6	98.9774	128	16.6108	4.78551	9	35.2216	
Louisville	Big East	27-9	0.75	+8	10	2.35842	7	45.9573	41	91.552	6	27.5223	3.4084	6	35.5689	
Stanford	Pac 10	28-8	0.77778	-4	11	2.35182	15	42.3463	46	91.2519	22	24.2057	3.1616	20	34.3425	
Duke	Atlantic Coast	28-6	0.82353	-6	12	2.34954	10	44.354	7	98.5492	79	18.9209	4.68435	8	35.3903	
Pittsburgh	Big East	27-10	0.72973	-1	13	2.32253	11	42.5867	33	92.9705	36	22.7342	3.60631	11	34.9669	
Xavier	Atlantic 10	30-7	0.81081	+5	14	2.3114	18	41.7894	37	92.2479	38	22.656	4.55168	37	33.203	
Michigan St	Big 10	27-9	0.75	+6	15	2.29758	12	42.5314	47	91.2456	20	24.4013	4.47618	12	34.9198	
Washington St	Pac 10	26-9	0.74286	-3	16	2.24357	16	42.2186	156	83.6957	2	31.6339	2.56321	23	34.16	
Butler	Horizon	30-4	0.88235	-3	17	2.22771	22	40.8841	94	87.6005	10	26.3989	4.83107	88	29.8372	
West Virginia	Big East	26-11	0.7027	+8	18	2.21858	17	41.8669	43	91.3804	28	23.6027	4.26785	29	33.8796	
Marquette	Big East	25-10	0.71429	+1	19	2.20597	13	42.475	29	93.5342	42	22.0571	3.8217	18	34.4437	
Drake	Missouri Val	28-5	0.84848	-9	20	2.20257	21	40.9495	32	93.2073	56	20.8526	5.34352	81	30.1848	
Texas A&M	Big 12	25-11	0.69444	+3	21	2.1784	19	41.5476	99	87.5087	7	27.1523	4.54332	15	34.5192	
Clemson	Atlantic Coast	24-10	0.70588	-7	22	2.15797	20	41.2612	24	94.4027	68	19.9723	4.03405	25	34.1114	
Notre Dame	Big East	25-8	0.75758	-1	23	2.14666	25	39.3628	14	95.5375	124	16.9425	4.38273	41	32.8973	
WKU	Sun Belt	29-7	0.80556	+8	24	2.10712	31	38.1105	20	94.8818	134	16.3482	4.27678	120	27.4597	
Ohio St	Big 10	24-13	0.64865	+28	25	2.10217	23	40.2137	79	88.8943	19	24.4337	4.54633	24	34.1388	
Purdue	Big 10	25-9	0.73529	+3	26	2.09588	24	39.374	42	91.5023	53	20.9878	3.9093	42	32.8804	
Villanova	Big East	22-13	0.62857	+17	27	2.08417	30	38.2696	48	91.2167	64	20.1707	2.87113	19	34.4219	
Oklahoma	Big 12	23-12	0.65714	+5	28	2.07123	43	36.5915	122	85.7561	23	23.9487	4.94191	14	34.6898	
USC	Pac 10	21-12	0.63636	-13	29	2.06503	28	38.967	82	88.6394	30	23.4364	2.97284	10	35.2153	
UNLV	Mountain West	27-8	0.77143	+4	30	2.06026	45	36.164	105	87.1388	40	22.1401	5.68791	89	29.6215	
Mississippi St	Southeastern	23-11	0.67647	+11	31	2.03791	26	39.1941	69	89.5183	35	22.7885	4.42964	51	32.3694	
Connecticut	Big East	24-9	0.72727	-7	32	2.0369	29	38.5244	28	93.5828	99	18.0586	4.58294	36	33.4476	
Kansas St	Big 12	21-12	0.63636	+8	33	2.03206	27	38.9961	18	95.1453	123	16.9636	5.58404	32	33.7447	
BYU	Mountain West	27-8	0.77143	-6	34	2.02073	35	37.637	67	89.5355	47	21.217	5.80334	91	29.5934	
Arkansas	Southeastern	23-12	0.65714	+13	35	1.99389	40	36.8902	45	91.2865	85	18.7151	5.54736	43	32.7545	
Gonzaga	West Coast	25-8	0.75758	-5	36	1.99383	34	37.7292	39	92.0311	81	18.8127	4.5885	82	30.1669	
Kent	Mid-American	28-7	0.8	-14	37	1.99358	51	35.4069	114	86.4087	41	22.1165	5.17319	105	28.318	
Indiana	Big 10	25-8	0.75758	-11	38	1.99084	36	37.4777	34	92.5447	100	18.0483	5.38044	53	32.3483	
Massachusetts	Atlantic 10	25-11	0.69444	+23	39	1.98733	41	36.75	8	97.7095	225	12.1559	4.15731	68	31.3748	
Miami FL	Atlantic Coast	23-11	0.67647		40	1.97747	37	37.1303	55	90.7442	73	19.4996	4.38531	54	32.2921	
Mississippi	Southeastern	24-11	0.68571	+25	41	1.9424	42	36.6001	9	97.3426	220	12.3717	4.86822	60	31.9465	
Temple	Atlantic 10	21-13	0.61765	-3	42	1.9414	46	36.1527	68	89.5227	70	19.7474	3.79851	61	31.873	
