Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Nebraska	Big 12	20-13	0.60606	+3	43	1.9359	38	36.9642	159	83.6328	9	26.4432	5.7937	45	32.7308	
Arizona	Pac 10	19-15	0.55882	-14	44	1.93021	32	38.0981	56	90.6869	59	20.5255	3.13606	4	35.874	
Vanderbilt	Southeastern	26-8	0.76471	-9	45	1.92271	57	34.1158	25	94.3438	208	12.8836	5.51691	71	31.2735	
Dayton	Atlantic 10	23-11	0.67647	+19	46	1.91061	55	34.2918	117	86.2132	49	21.1937	5.09044	65	31.5134	
Virginia Tech	Atlantic Coast	21-14	0.6	-4	47	1.90181	33	37.7369	111	86.6232	21	24.2291	4.6544	49	32.5009	
St Joseph's PA	Atlantic 10	21-13	0.61765	-1	48	1.89345	39	36.8971	63	89.8538	65	20.1611	3.3513	55	32.0348	
Baylor	Big 12	21-11	0.65625	-4	49	1.89172	49	35.9997	2	100.786	289	8.325	4.52133	46	32.7011	
Syracuse	Big East	21-14	0.6	+9	50	1.86964	50	35.8815	16	95.3947	191	13.6053	3.90637	31	33.8287	
Florida	Southeastern	24-12	0.66667	+25	51	1.86156	44	36.1863	54	90.8425	91	18.4532	5.14852	80	30.3737	
Oregon	Pac 10	18-14	0.5625	-17	52	1.85366	47	36.1028	19	94.8977	171	14.3161	3.7238	27	34.0838	
Illinois St	Missouri Val	25-10	0.71429	-15	53	1.84312	65	33.3631	211	80.8946	13	25.5819	5.89417	93	29.4352	
Arizona St	Pac 10	21-13	0.61765	-17	54	1.83526	54	34.4287	148	84.0784	29	23.4607	3.56367	59	31.9498	
Oklahoma St	Big 12	17-16	0.51515	-1	55	1.82863	63	33.4395	128	85.4782	51	21.0727	5.79308	28	33.9483	
California	Pac 10	17-16	0.51515	-7	56	1.82637	67	33.3202	21	94.836	236	11.5966	2.94952	21	34.1997	
Tulsa	Conference USA	25-14	0.64103	+23	57	1.81859	77	32.7741	145	84.5782	45	21.3083	7.01102	104	28.3991	
Oral Roberts	Summit Lg	24-9	0.72727	-7	58	1.81282	68	33.2603	162	83.259	33	23.117	5.7342	123	27.1901	
Georgia	Southeastern	17-17	0.5	+9	59	1.80482	79	32.6971	137	84.9037	54	20.9049	4.36513	56	32.0242	
Illinois	Big 10	16-19	0.45714	+3	60	1.80476	53	34.5986	166	82.9129	18	24.801	3.20625	22	34.1762	
New Mexico	Mountain West	24-9	0.72727	-5	61	1.80258	48	36.0532	76	89.0085	66	20.1566	5.89535	102	28.4902	
Florida St	Atlantic Coast	19-15	0.55882	-10	62	1.80241	58	34.036	102	87.4084	71	19.7403	3.53764	39	33.0933	
Creighton	Missouri Val	22-11	0.66667	-8	63	1.7974	88	31.6993	98	87.5542	116	17.2551	6.3808	84	30.0246	
Kentucky	Southeastern	18-13	0.58065	+3	64	1.79708	64	33.4333	155	83.7369	34	22.8098	4.82273	50	32.4493	
St Mary's CA	West Coast	25-7	0.78125	-15	65	1.79702	61	33.5704	77	88.937	107	17.7467	5.02539	124	27.1867	
Georgia Tech	Atlantic Coast	15-17	0.46875	-8	66	1.79641	52	35.1102	23	94.6096	190	13.6161	4.56315	13	34.8375	
UAB	Conference USA	23-11	0.67647	+10	67	1.79204	78	32.7532	53	90.885	157	14.9811	6.5382	100	28.8001	
Charlotte	Atlantic 10	20-14	0.58824	+2	68	1.7679	86	32.1238	139	84.8784	61	20.3614	4.95648	72	31.2483	
Akron	Mid-American	24-11	0.68571	+6	69	1.76277	69	33.2581	121	85.8737	60	20.5009	4.54712	118	27.5516	
Maryland	Atlantic Coast	19-15	0.55882	+3	70	1.76138	66	33.3276	60	90.0479	132	16.3939	4.24559	58	31.9536	
Houston	Conference USA	24-10	0.70588	+18	71	1.75691	59	33.8797	26	94.3122	211	12.6808	5.53785	121	27.3838	
South Alabama	Sun Belt	26-7	0.78788	-11	72	1.75164	84	32.3065	80	88.748	127	16.6778	3.7408	148	25.7497	
Minnesota	Big 10	20-14	0.58824	-13	73	1.7412	85	32.2307	147	84.2489	50	21.0975	3.79222	73	31.2201	
IUPUI	Summit Lg	26-7	0.78788	-5	74	1.74026	82	32.5144	107	87.0499	87	18.578	6.13691	199	23.5837	
Siena	Metro Atlantic	23-11	0.67647	+9	75	1.73873	81	32.5475	72	89.2826	133	16.3781	2.98863	132	26.7221	
Texas Tech	Big 12	16-15	0.51613	-2	76	1.73686	60	33.6598	65	89.6085	119	17.1649	5.73001	30	33.8739	
CS Fullerton	Big West	24-9	0.72727	-13	77	1.73667	73	32.9483	11	95.9293	264	10.1332	3.47716	166	24.4333	
Missouri	Big 12	16-16	0.5	+5	78	1.72098	56	34.188	27	94.071	202	13.2283	5.54348	34	33.6588	
Alabama	Southeastern	17-16	0.51515	+13	79	1.71378	62	33.4513	44	91.3151	152	15.2486	4.34316	57	31.9804	
San Diego	West Coast	22-14	0.61111	+2	80	1.71121	100	29.8826	201	81.3686	44	21.6322	4.60434	122	27.23	
Bradley	Missouri Val	21-17	0.55263	+13	81	1.71113	87	32.1227	30	93.3313	230	11.9048	5.40093	79	30.5942	
Providence	Big East	15-16	0.48387	+6	82	1.70936	76	32.7859	71	89.3262	129	16.5785	3.43069	33	33.666	
Boise St	Western Athletic	25-9	0.73529	-11	83	1.69584	107	29.5765	17	95.3016	296	7.38891	3.95479	175	24.2383	
Wake Forest	Atlantic Coast	17-13	0.56667	-6	84	1.69551	75	32.7946	64	89.7429	138	16.1658	5.50536	69	31.3408	
Utah	Mountain West	18-15	0.54545	+12	85	1.67548	71	33.0368	120	86.0624	67	20.0907	5.54732	87	29.9215	
S Illinois	Missouri Val	18-15	0.54545	-7	86	1.66291	83	32.4442	217	80.6211	16	24.9368	7.1435	63	31.7541	
VA Commonwealth	Colonial	24-8	0.75	-16	87	1.65962	80	32.6131	185	81.9958	27	23.7333	4.75691	152	25.6284	
Washington	Pac 10	16-17	0.48485	-31	88	1.65081	72	32.9971	52	90.9341	155	15.1724	3.04745	40	33.0059	
Rhode Island	Atlantic 10	21-12	0.63636	+4	89	1.64856	70	33.0672	13	95.7899	257	10.3922	4.58309	96	29.3163	
Cleveland St	Horizon	21-13	0.61765	-3	90	1.64372	101	29.8635	171	82.6993	63	20.2824	4.8511	111	27.9701	
Belmont	Atlantic Sun	25-9	0.73529	+7	91	1.6404	96	30.0424	58	90.6247	216	12.5313	3.5477	227	22.632	
George Mason	Colonial	23-11	0.67647	-11	92	1.6375	91	31.0383	165	82.947	48	21.2101	5.29348	145	26.0777	
Wright St	Horizon	21-10	0.67742	-2	93	1.63615	114	28.9605	244	78.826	31	23.251	4.46629	119	27.4621	
Miami OH	Mid-American	17-16	0.51515	-8	94	1.62463	89	31.2939	234	79.5361	17	24.8774	5.40476	75	31.1632	
Seton Hall	Big East	17-15	0.53125	+11	95	1.61973	99	29.9155	35	92.4559	252	10.5765	2.78737	76	31.1253	
Cornell	Ivy League	22-6	0.78571	-11	96	1.61417	128	27.8847	83	88.4638	214	12.5389	3.60304	256	21.6128	
Cincinnati	Big East	13-19	0.40625	+8	97	1.60974	90	31.1867	160	83.4978	58	20.8076	3.57831	26	34.0969	
Valparaiso	Horizon	21-14	0.6	+12	98	1.60753	116	28.876	90	87.949	180	14.0423	4.54206	108	28.1094	
Southern Miss	Conference USA	19-14	0.57576	+10	99	1.60261	94	30.4686	143	84.6546	78	18.9289	5.13741	137	26.362	
South Carolina	Southeastern	14-18	0.4375	+11	100	1.60033	93	30.8154	92	87.8139	141	16.1128	3.45935	62	31.7786	
UNC Greensboro	Southern	19-12	0.6129	+22	101	1.59805	92	31.0187	125	85.6244	88	18.5091	4.48444	127	26.9787	
SF Austin	Southland	26-6	0.8125	-12	102	1.59522	103	29.8317	260	77.9938	15	24.9546	3.74088	254	21.6757	
W Michigan	Mid-American	20-12	0.625		103	1.59404	98	29.9263	132	85.2016	106	17.8446	6.11466	129	26.8687	
UMBC	America East	24-9	0.72727	-4	104	1.58976	118	28.7357	97	87.5708	173	14.2771	1.84499	218	22.8954	
Portland St	Big Sky	23-10	0.69697	-6	105	1.58765	126	28.1463	103	87.379	184	13.8864	3.73295	200	23.5422	
Virginia	Atlantic Coast	17-16	0.51515	-11	106	1.58638	108	29.4937	38	92.21	256	10.3959	4.37013	77	30.9144	
San Diego St	Mountain West	20-13	0.60606	-11	107	1.58435	106	29.5949	189	81.8587	57	20.852	5.47518	107	28.2664	
Winthrop	Big South	22-12	0.64706	-6	108	1.58154	97	29.9552	283	76.4058	8	26.6681	4.30391	155	25.1575	
Duquesne	Atlantic 10	17-13	0.56667	+11	109	1.58036	74	32.835	10	96.0396	268	9.91125	3.88224	98	29.1198	
NC State	Atlantic Coast	15-16	0.48387	+8	110	1.56936	124	28.3064	172	82.6133	83	18.8084	4.93879	47	32.5283	
Penn St	Big 10	15-16	0.48387	+6	111	1.56526	117	28.7995	135	84.9956	125	16.9191	4.37952	74	31.1925	
Boston College	Atlantic Coast	14-17	0.45161	+4	112	1.55954	113	29.0758	124	85.6413	130	16.5476	4.14384	52	32.3546	
IL Chicago	Horizon	18-15	0.54545	+2	113	1.55295	95	30.0501	142	84.7203	92	18.445	5.30161	113	27.8934	
Robert Morris	Northeast	26-8	0.76471	-6	114	1.5487	131	27.6388	108	86.9989	188	13.7564	0.579781	249	21.8892	
Northern Iowa	Missouri Val	18-14	0.5625	-8	115	1.54333	127	28.0548	240	78.9423	39	22.2217	5.97319	103	28.4431	
Ohio	Mid-American	20-13	0.60606	-2	116	1.53605	110	29.2897	136	84.9555	113	17.4515	5.87779	112	27.9231	
Santa Barbara	Big West	23-9	0.71875	-13	117	1.53587	121	28.3904	183	82.2449	77	19.2589	4.08589	169	24.4079	
Rider	Metro Atlantic	23-11	0.67647	+1	118	1.52705	130	27.772	70	89.3578	239	11.5303	4.13432	192	23.7842	
UTEP	Conference USA	19-14	0.57576	-7	119	1.52664	115	28.9334	51	91.0328	245	11.0135	5.32199	115	27.7914	
Missouri St	Missouri Val	17-16	0.51515	-7	120	1.52654	102	29.8319	126	85.5815	115	17.3613	7.0057	92	29.4635	
Nevada	Western Athletic	21-12	0.63636	-20	121	1.52623	109	29.3939	85	88.3619	177	14.1411	5.44498	144	26.1586	
LSU	Southeastern	13-18	0.41935	+9	122	1.52444	104	29.7984	130	85.384	111	17.5263	4.17555	64	31.5631	
La Salle	Atlantic 10	15-17	0.46875	+2	123	1.52145	129	27.8536	40	91.5701	277	9.39361	2.49941	109	28.0996	
DePaul	Big East	11-19	0.36667	+8	124	1.51686	111	29.2486	62	89.8827	217	12.484	3.18078	35	33.6227	
Colorado	Big 12	12-20	0.375	+3	125	1.51372	105	29.7286	208	80.9117	43	21.9278	4.34404	48	32.5151	
American Univ	Patriot League	21-12	0.63636	-5	126	1.5128	136	27.0875	216	80.6703	72	19.5313	1.91757	195	23.6954	
Utah St	Western Athletic	24-11	0.68571	-5	127	1.50862	112	29.0852	95	87.598	166	14.5964	5.8885	197	23.6367	
St Louis	Atlantic 10	16-15	0.51613	+5	128	1.50685	120	28.4979	263	77.6979	25	23.9125	4.66166	94	29.354	
Richmond	Atlantic 10	16-15	0.51613	-5	129	1.49226	140	26.8773	241	78.9223	52	21.0687	3.89948	95	29.3241	
Austin Peay	OH Valley	24-11	0.68571	-4	130	1.48468	152	25.8228	129	85.4038	192	13.5404	3.79734	228	22.5551	
Iowa St	Big 12	14-18	0.4375	+6	131	1.48434	122	28.3785	196	81.6421	69	19.8486	5.42266	67	31.4539	
MTSU	Sun Belt	17-15	0.53125	+3	132	1.46351	144	26.2971	200	81.5227	105	17.8978	4.31108	146	26.0472	
Indiana St	Missouri Val	15-16	0.48387	-6	133	1.45991	145	26.2547	164	83.0286	135	16.336	6.79533	99	29.1157	
CS Northridge	Big West	20-10	0.66667	-5	134	1.45801	135	27.1617	81	88.7068	237	11.5651	4.18903	188	23.9377	
St John's	Big East	11-19	0.36667	+9	135	1.45596	133	27.4588	236	79.2745	46	21.3005	3.27124	44	32.7489	
New Mexico St	Western Athletic	21-14	0.6	-2	136	1.45494	123	28.3218	49	91.1945	261	10.242	5.66451	158	25.063	
Niagara	Metro Atlantic	19-10	0.65517	+5	137	1.43687	143	26.4521	66	89.6043	267	9.96236	3.99608	168	24.4081	
Michigan	Big 10	10-22	0.3125	+3	138	1.43663	132	27.6178	190	81.8576	80	18.8755	3.36205	38	33.1041	
Sam Houston St	Southland	23-8	0.74194	-3	139	1.43652	141	26.8461	193	81.782	97	18.177	3.86265	269	21.0388	
Brown	Ivy League	19-10	0.65517	-10	140	1.43623	142	26.5375	169	82.8191	126	16.8355	3.55057	210	23.2181	
Mt St Mary's	Northeast	19-15	0.55882	-1	141	1.43495	134	27.1991	150	83.8941	131	16.4216	0.287883	209	23.2628	
Auburn	Southeastern	14-16	0.46667	+10	142	1.41935	139	26.9095	96	87.5837	218	12.4363	4.60178	97	29.2153	
South Florida	Big East	12-19	0.3871	+7	143	1.41865	125	28.2549	161	83.384	101	17.9868	3.91824	70	31.3371	
UCF	Conference USA	16-15	0.51613	+9	144	1.41462	119	28.695	93	87.6234	175	14.1868	5.8081	117	27.6107	
UT Arlington	Southland	20-12	0.625	-7	145	1.41312	161	25.0288	119	86.0804	227	12.0618	3.46022	238	22.0832	
Loyola MD	Metro Atlantic	19-14	0.57576	+3	146	1.40958	148	26.0643	123	85.6633	193	13.5143	3.9779	172	24.3023	
Pacific	Big West	21-10	0.67742	-8	147	1.40078	149	26.0589	157	83.6941	149	15.473	4.03926	216	22.9406	
Ga Southern	Southern	20-12	0.625	+11	148	1.40036	146	26.2254	78	88.9044	254	10.4367	4.61146	167	24.4152	
Marist	Metro Atlantic	18-14	0.5625	+2	149	1.39939	147	26.1218	154	83.8348	150	15.3985	4.43936	151	25.6767	
Tulane	Conference USA	17-15	0.53125	+5	150	1.39763	170	24.4702	239	79.1592	94	18.4265	4.98206	130	26.7545	
Fordham	Atlantic 10	12-17	0.41379	+5	151	1.39495	153	25.7014	220	80.3138	89	18.4989	3.54712	90	29.6113	
Old Dominion	Colonial	18-16	0.52941	-5	152	1.39462	137	27.0838	168	82.834	114	17.3683	4.70127	128	26.9434	
UNC Wilmington	Colonial	20-13	0.60606	-8	153	1.38885	162	24.8429	109	86.8568	244	11.1046	4.87771	179	24.1128	
North Texas	Sun Belt	20-11	0.64516	-8	154	1.38839	151	26.0148	104	87.2972	231	11.8368	4.98367	223	22.8368	
UC Irvine	Big West	18-16	0.52941	-12	155	1.38607	155	25.5117	215	80.7049	104	17.9177	4.71323	176	24.1968	
Iowa	Big 10	13-19	0.40625	+2	156	1.38281	138	27.0335	309	74.1382	12	26.0087	4.23191	83	30.1632	
Wagner	Northeast	23-8	0.74194	-9	157	1.38072	184	22.8474	170	82.7672	204	13.1973	1.13564	287	20.2161	
ETSU	Atlantic Sun	20-13	0.60606	+7	158	1.36048	166	24.6619	57	90.6755	298	7.10311	3.60508	226	22.6668	
Appalachian St	Southern	18-13	0.58065	+9	159	1.35625	163	24.8423	149	84.0513	183	13.9033	4.43627	160	24.7039	
WI Green Bay	Horizon	15-15	0.5		160	1.35119	158	25.2306	127	85.5143	209	12.8338	5.09737	110	28.0186	
Northern Arizona	Big Sky	21-11	0.65625	-4	161	1.34622	168	24.5891	144	84.6058	205	13.1011	5.15078	248	21.9329	
Oakland	Summit Lg	17-14	0.54839	-8	162	1.34395	157	25.3766	74	89.0331	276	9.4559	5.42018	165	24.4819	
Lamar	Southland	19-11	0.63333	-2	163	1.34067	150	26.0244	31	93.2479	315	5.89061	4.59427	260	21.4662	
Air Force	Mountain West	16-14	0.53333	-1	164	1.33936	160	25.091	322	72.7749	14	25.4301	5.39677	153	25.428	
UNC Asheville	Big South	23-10	0.69697	-3	165	1.33011	179	23.6828	141	84.7339	226	12.063	4.53291	279	20.5358	
Marshall	Conference USA	16-14	0.53333	+5	166	1.33004	156	25.4752	206	80.9967	110	17.5933	5.72634	136	26.3925	
William & Mary	Colonial	17-16	0.51515	-3	167	1.32076	190	22.2565	275	76.6772	86	18.6966	4.11009	193	23.7166	
Chattanooga	Southern	18-13	0.58065	+7	168	1.31366	173	24.151	88	88.101	282	9.163	5.3178	173	24.2944	
Sacred Heart	Northeast	18-14	0.5625	-2	169	1.30583	180	23.4373	140	84.8485	234	11.708	-0.051722	247	21.9379	
Ark Little Rock	Sun Belt	20-11	0.64516	-1	170	1.30284	189	22.2639	293	75.9222	75	19.4617	5.09932	265	21.1342	
Rutgers	Big East	11-20	0.35484	+6	171	1.30274	171	24.3888	246	78.7255	84	18.7776	3.4388	86	29.9439	
N Dakota St	Summit Lg	16-13	0.55172	-6	172	1.29618	154	25.5967	106	87.1145	235	11.5999	6.37786	211	23.1635	
New Orleans	Sun Belt	20-13	0.60606	-3	173	1.29587	175	23.9408	100	87.4802	273	9.57858	3.44404	229	22.5247	
G Washington	Atlantic 10	9-17	0.34615	+5	174	1.28766	169	24.5832	233	79.5903	98	18.1061	5.01701	85	29.9611	
WI Milwaukee	Horizon	14-16	0.46667	-3	175	1.2824	172	24.2586	167	82.8633	169	14.5141	4.06769	116	27.6975	
Col Charleston	Southern	16-17	0.48485	+7	176	1.27558	164	24.7242	118	86.1262	233	11.7127	4.13946	154	25.2141	
C Michigan	Mid-American	14-17	0.45161	-4	177	1.26463	187	22.6069	113	86.5014	281	9.22385	5.0947	141	26.2457	
Northeastern	Colonial	14-17	0.45161	-4	178	1.2596	167	24.6539	250	78.4606	76	19.3103	4.53531	150	25.7106	
Santa Clara	West Coast	15-16	0.48387	-3	179	1.24483	159	25.1938	303	75.1503	32	23.1614	4.18269	161	24.6806	
Colgate	Patriot League	18-14	0.5625	-2	180	1.24391	182	23.0504	262	77.859	95	18.305	2.59697	246	21.9441	
TCU	Mountain West	14-16	0.46667	+3	181	1.23978	174	24.0691	153	83.8458	199	13.3403	5.29621	147	25.7987	
Elon	Southern	14-19	0.42424	+11	182	1.23233	181	23.2658	290	76.0249	62	20.3568	3.80337	162	24.6644	
Loyola-Chicago	Horizon	12-19	0.3871	-2	183	1.22896	183	22.8554	281	76.494	74	19.4754	4.5848	138	26.3135	
Fairfield	Metro Atlantic	14-16	0.46667	+2	184	1.22597	191	22.1755	218	80.5261	162	14.7622	3.65377	156	25.1435	
Wofford	Southern	16-16	0.5	+12	185	1.22344	192	22.1546	225	80.0189	151	15.2503	3.91196	220	22.8525	
Morgan St	Mid-Eastern AC	21-11	0.65625	-6	186	1.22076	185	22.7897	219	80.3877	148	15.5224	3.79455	296	19.5339	
Holy Cross	Patriot League	15-14	0.51724	-2	187	1.2158	177	23.7813	291	75.9992	55	20.9021	2.29809	185	24.0502	
Jacksonville	Atlantic Sun	18-13	0.58065	+3	188	1.21116	207	20.9301	151	83.8928	263	10.1552	3.82562	273	20.8341	
Northwestern LA	Southland	15-18	0.45455	-7	189	1.20277	201	21.433	87	88.179	312	6.37031	2.97235	222	22.8395	
Vermont	America East	16-15	0.51613	-2	190	1.19712	176	23.9078	134	85.0056	229	12.0191	2.3066	255	21.6242	
Hartford	America East	18-16	0.52941	-1	191	1.18879	225	19.6083	158	83.6899	283	9.03351	2.18839	250	21.8746	
Wichita St	Missouri Val	11-20	0.35484	-5	192	1.18475	165	24.7023	229	79.8322	102	17.98	6.21058	101	28.6047	
Toledo	Mid-American	11-19	0.36667	-4	193	1.18165	212	20.4093	295	75.8574	108	17.6699	6.03362	114	27.8691	
SE Louisiana	Southland	17-13	0.56667	-2	194	1.17541	194	21.8135	276	76.6701	96	18.2567	3.33029	282	20.4546	
E Michigan	Mid-American	14-17	0.45161	-1	195	1.17158	195	21.8015	226	79.9716	158	14.9523	5.77594	159	24.7439	
ULL	Sun Belt	15-15	0.5		196	1.1699	199	21.6277	272	76.7777	103	17.9684	4.27198	170	24.3305	
Northwestern	Big 10	8-22	0.26667	+2	197	1.16753	178	23.7542	230	79.7471	120	17.1235	3.17679	78	30.667	
Bowling Green	Mid-American	13-17	0.43333	-3	198	1.16132	203	21.3166	237	79.1888	153	15.2459	5.4961	143	26.2266	
Delaware	Colonial	14-17	0.45161	-1	199	1.1513	208	20.8641	238	79.1777	161	14.8025	4.78413	164	24.5668	
Weber St	Big Sky	16-14	0.53333		200	1.13341	196	21.7588	245	78.7437	139	16.1326	5.3318	259	21.498	
IPFW	Summit Lg	13-18	0.41935		201	1.11928	211	20.4765	213	80.7999	210	12.7904	6.47023	182	24.0874	
Navy	Patriot League	16-14	0.53333		202	1.11728	193	22.078	50	91.0447	324	4.14526	2.69068	290	20.0272	
Lafayette	Patriot League	15-15	0.5		203	1.11572	188	22.3995	61	89.8832	318	5.63203	2.74391	230	22.4953	
Wyoming	Mountain West	12-18	0.4	+1	204	1.11046	198	21.6533	152	83.8905	248	10.8814	5.52672	149	25.7248	
Albany NY	America East	15-15	0.5	-1	205	1.10635	186	22.7134	191	81.8235	181	14.0058	2.15325	243	21.9804	
Boston Univ	America East	14-17	0.45161		206	1.09946	218	20.1478	288	76.0376	117	17.2236	2.50041	233	22.4523	
Tennessee St	OH Valley	15-17	0.46875		207	1.07314	217	20.2443	112	86.5146	305	6.85351	3.15643	278	20.6116	
FL Atlantic	Sun Belt	15-18	0.45455	+3	208	1.07191	216	20.2571	116	86.3068	300	7.06675	5.29159	217	22.9177	
Quinnipiac	Northeast	15-15	0.5	-1	209	1.06946	227	19.5704	110	86.6764	314	6.01111	0.780922	271	20.9457	
Murray St	OH Valley	18-13	0.58065	+4	210	1.06853	215	20.2718	202	81.3643	228	12.0311	4.18124	303	19.1397	
Gardner Webb	Atlantic Sun	16-16	0.5	+12	211	1.06781	200	21.5259	89	88.0349	309	6.60684	4.77067	266	21.1275	
Binghamton	America East	14-16	0.46667	-2	212	1.06587	214	20.305	269	77.1292	136	16.2912	2.12734	244	21.9677	
Central Conn	Northeast	14-16	0.46667	+4	213	1.06463	202	21.4029	186	81.9836	215	12.5365	1.67757	263	21.2427	
UTRGV	D1 Independent	18-13	0.58065	-2	214	1.06399	210	20.7351	177	82.4407	241	11.408	3.44373	323	17.2884	
Army	Patriot League	14-16	0.46667	-6	215	1.05866	249	18.2441	324	72.5459	82	18.81	2.0191	262	21.2851	
Utah Valley	D1 Independent	15-14	0.51724	-3	216	1.05821	213	20.3318	223	80.1359	200	13.3082	4.95224	295	19.7313	
High Point	Big South	17-14	0.54839	+1	217	1.05128	209	20.7965	255	78.164	146	15.7426	5.58259	320	17.4924	
