Team		Record		Δ	Rat		Pwr		Off		Def		HFA	SoS		
Florida	Southeastern	33-6	0.84615	+3	1	2.71036	1	51.6334	6	97.7122	11	26.7229	2.24055	7	36.0523	
Duke	Atlantic Coast	32-4	0.88889	-1	2	2.51854	3	46.4685	4	98.8472	64	20.4277	3.81409	6	36.3121	
UCLA	Pac 10	32-7	0.82051	+4	3	2.50778	5	46.3032	98	86.8249	1	32.2815	2.37299	10	35.7648	
Villanova	Big East	28-5	0.84848	-1	4	2.47303	7	44.7312	19	92.9036	22	24.6337	3.63848	2	36.9605	
Connecticut	Big East	30-4	0.88235	-3	5	2.4647	4	46.3549	1	101.514	109	17.6434	3.46844	9	35.7728	
Memphis	Conference USA	33-4	0.89189	-1	6	2.45524	2	46.752	8	96.7442	37	22.8144	3.8883	49	32.9085	
LSU	Southeastern	27-9	0.75	+8	7	2.43703	6	45.5298	22	92.3228	15	26.0105	2.65859	1	37.3906	
Texas	Big 12	30-7	0.81081		8	2.326	10	43.6527	25	92.1601	25	24.2965	5.2645	25	34.2701	
Gonzaga	West Coast	29-4	0.87879	+4	9	2.30682	22	39.7792	5	98.4976	183	14.0847	2.53086	60	32.1627	
Pittsburgh	Big East	25-8	0.75758		10	2.24474	8	44.069	40	90.7548	14	26.1155	3.77108	15	35.3859	
George Mason	Colonial	27-8	0.77143	+35	11	2.23898	21	40.9392	99	86.7489	9	26.9915	3.294	58	32.2788	
Boston College	Atlantic Coast	28-8	0.77778	-1	12	2.23306	14	42.0752	28	92.0407	36	22.8386	3.01026	50	32.8456	
Georgetown	Big East	23-10	0.69697	+6	13	2.23245	11	43.0155	137	84.9083	2	30.913	3.4561	8	35.9525	
South Carolina	Southeastern	23-15	0.60526	+22	14	2.22574	12	42.9129	96	86.9486	5	28.7702	3.2204	4	36.5288	
Kansas	Big 12	25-8	0.75758	-9	15	2.2169	9	43.9017	20	92.5294	28	24.179	4.52668	43	33.0359	
Tennessee	Southeastern	22-8	0.73333	+2	16	2.17849	19	41.0942	2	99.2894	173	14.6114	3.54065	5	36.4781	
North Carolina	Atlantic Coast	23-8	0.74194	-3	17	2.1756	13	42.37	7	97.2709	102	17.9042	3.74875	20	35.0168	
Syracuse	Big East	23-12	0.65714	-2	18	2.17002	29	38.7153	26	92.1242	78	19.3945	2.60024	11	35.7551	
Ohio St	Big 10	26-6	0.8125	-10	19	2.15396	23	39.7547	53	89.8418	40	22.7164	5.96665	46	32.9599	
Washington	Pac 10	26-7	0.78788	+6	20	2.14671	20	41.032	3	99.0162	167	14.8184	4.39974	52	32.7856	
Kentucky	Southeastern	22-13	0.62857	+4	21	2.12835	18	41.1904	34	91.2369	39	22.7536	2.57308	3	36.6549	
Illinois	Big 10	26-7	0.78788	-5	22	2.12619	15	41.8934	72	88.5014	13	26.1949	5.90717	34	33.4516	
West Virginia	Big East	22-11	0.66667		23	2.11713	17	41.6738	54	89.8184	21	24.6586	4.12604	14	35.4329	
G Washington	Atlantic 10	27-3	0.9	-3	24	2.10314	38	37.0666	10	95.7046	182	14.1716	4.11346	125	27.9737	
Iowa	Big 10	25-9	0.73529	-13	25	2.09619	24	39.6035	143	84.375	6	28.0349	6.56374	36	33.3755	
Arkansas	Southeastern	22-10	0.6875	-4	26	2.08541	16	41.6809	24	92.1902	42	22.2961	3.65651	24	34.3438	
Bradley	Missouri Val	22-11	0.66667	+17	27	2.07064	26	38.9475	38	90.9716	57	20.784	4.94046	40	33.2246	
Bucknell	Patriot League	27-5	0.84375	+2	28	2.06877	43	36.6554	179	82.702	10	26.7657	3.13483	151	26.6245	
Wichita St	Missouri Val	26-9	0.74286	+6	29	2.05764	30	38.7107	66	88.7621	38	22.7539	3.8236	63	31.9521	
Hofstra	Colonial	26-7	0.78788	+2	30	2.04627	41	36.8661	30	91.9834	107	17.6872	3.0593	82	30.2852	
Texas A&M	Big 12	22-9	0.70968	-3	31	2.03326	25	39.1213	122	85.5036	12	26.4226	3.57517	72	31.6752	
Arizona	Pac 10	21-13	0.61765	+11	32	1.98985	28	38.7671	13	94.4557	121	17.1155	4.58153	16	35.3004	
UNC Wilmington	Colonial	25-8	0.75758	-6	33	1.98929	31	38.655	102	86.702	20	24.7588	3.46519	89	29.8738	
UAB	Conference USA	24-7	0.77419	-5	34	1.98074	44	36.6148	50	90.1297	79	19.2916	4.28401	96	29.5269	
Nevada	Western Athletic	27-6	0.81818	-15	35	1.95383	50	36.2128	71	88.5181	61	20.4999	4.7139	103	28.8947	
Alabama	Southeastern	19-13	0.59375	+29	36	1.95235	39	37.0517	47	90.3	75	19.5575	3.71302	19	35.0256	
Marquette	Big East	20-11	0.64516	-6	37	1.94795	33	38.0075	14	94.1005	129	16.7125	4.68101	23	34.5209	
NC State	Atlantic Coast	22-10	0.6875	-4	38	1.94618	42	36.8472	52	89.9588	73	19.6917	4.10562	38	33.2756	
Michigan St	Big 10	23-12	0.65714	-15	39	1.94528	36	37.2462	33	91.2467	87	18.8036	5.94732	33	33.4976	
Cincinnati	Big East	21-13	0.61765	+5	40	1.94012	34	37.8756	15	93.8538	127	16.8299	3.81222	17	35.2689	
Missouri St	Missouri Val	22-9	0.70968	-2	41	1.93959	52	36.1143	51	90.0358	85	18.8866	5.33668	56	32.457	
Michigan	Big 10	22-11	0.66667	+20	42	1.93674	40	36.9444	29	92.0095	106	17.7433	5.80101	32	33.5907	
California	Pac 10	20-11	0.64516	-3	43	1.9282	45	36.5131	87	87.4088	45	21.9054	4.01513	27	34.03	
Indiana	Big 10	20-12	0.625	-11	44	1.92223	46	36.4974	61	89.3661	70	19.9337	5.39998	29	33.7083	
S Illinois	Missouri Val	22-11	0.66667	-8	45	1.91518	47	36.2914	229	80.2457	4	28.8536	4.63126	65	31.9355	
Northern Iowa	Missouri Val	23-10	0.69697	-8	46	1.91305	32	38.0287	161	83.5269	8	27.3072	4.29108	73	31.5885	
Louisville	Big East	21-13	0.61765	+9	47	1.89647	37	37.0731	77	88.0201	46	21.8574	4.93393	37	33.3278	
Vanderbilt	Southeastern	17-13	0.56667	+6	48	1.89247	51	36.1517	60	89.3773	74	19.5775	2.675	13	35.6814	
Miami FL	Atlantic Coast	18-16	0.52941	+8	49	1.88886	53	35.8643	120	85.5629	33	23.1023	4.0582	26	34.2693	
Old Dominion	Colonial	24-10	0.70588	+33	50	1.87295	56	35.4234	127	85.2563	34	22.97	3.92929	90	29.8534	
Notre Dame	Big East	16-14	0.53333	+12	51	1.8707	27	38.8031	11	95.6536	144	15.9512	3.62656	22	34.9387	
Iona	Metro Atlantic	23-8	0.74194	-1	52	1.87021	48	36.2199	16	93.5839	154	15.4414	1.62244	108	28.6171	
Florida St	Atlantic Coast	20-10	0.66667	-12	53	1.86822	49	36.2135	27	92.0977	123	16.92	4.58659	62	32.0134	
Kent	Mid-American	25-9	0.73529	-5	54	1.86271	62	34.7758	62	89.1921	94	18.3857	4.69412	120	28.1584	
